lon,lat,transmission_efficiency_weighted,temp_mean,rh_mean,vegetation_index,ruggedness,hfp,ndvi_mean,veg_height_avg
-170,65,-0.8916509321270752,267.98279,,-2.419083659198442,0.17127,,-0.104029,0.0
-170,66,-0.8998205153809475,267.19397,83.94,-2.3445692325847727,0.77911,2.96653,-0.083404,0.0
-169,52,-0.8591258666408592,278.45898,82.93,-0.6788244087132459,0.24747,2.70274,0.37706,0.04
-169,53,-0.8655322208525953,277.38931,84.12,-1.38275000366277,4.75133,0.00432,0.182219,0.04
-169,64,-0.8713638238762499,269.39447,,-2.547234021691216,0.04204,,-0.1395,0.0
-169,65,-0.8954789246595783,268.41605,,-2.3866333038120673,0.22016,9.38844,-0.095047,0.0
-168,53,-0.8638212514444622,277.62546,83.49,-0.8872621403383539,4.43087,0.0015,0.319967,0.0
-168,65,-0.8964532642740048,268.3775,82.68,-2.2628102835276236,4.61675,2.19297,-0.060924,0.01
-167,53,-0.8548687104493093,277.33994,85.64,-1.3438102053559342,14.16783,1.73901,0.192847,0.05
-167,54,-0.85782403840109,277.61639,83.55,-1.0777300468146034,0.48875,2.12622,0.267247,0.0
-167,61,-0.8585091102850538,271.9068,82.41,-2.1942795049386135,0.18828,6.27182,-0.041805,0.0
-167,62,-0.8511979842990876,271.40488,,-0.9255589852372725,4e-05,0.26548,,0.0
-167,64,-0.8638073514175071,269.69125,81.21,-2.183875834005443,1.80121,2.92522,-0.042681,0.25
-167,65,-0.8775150246771861,267.75504,81.85,-2.179761956781867,8.29827,2.05968,-0.04665,0.59
-167,66,-0.8908160426125128,267.94351,82.14,-2.1952802562681644,0.1663,4.13768,-0.042082,0.0
-167,68,-0.8767298266017235,266.06384,80.57,-2.2451841483803885,2.06767,1.83996,-0.055895,0.0
-166,54,-0.8574306772492404,277.61993,83.42,-0.9448464171887827,2.82398,1.97505,0.303277,0.05
-166,60,-0.8552771538409955,272.32745,83.39,-2.1568004480945397,0.81574,1.58499,-0.032032,0.04
-166,61,-0.85438777902567,271.7121,81.55,-2.233749788747657,1.78074,0.91807,-0.054683,0.13
-166,62,-0.8482521137653202,271.47562,81.14,-2.215381990555605,0.05714,2.74279,-0.047646,0.0
-166,64,-0.8790141461543459,269.39108,80.38,-1.9983621023420222,10.70168,2.99474,-0.057582,4.66
-166,65,-0.8773936426879315,267.41885,80.81,-1.801897603009818,10.31811,0.52369,-0.034299,6.73
-166,66,-0.8855494450467325,267.90765,81.16,-2.162619413208871,0.55272,0.85641,-0.034544,0.1
-166,67,-0.8796470007429386,267.49329,78.92,-2.162334944448041,0.08931,3.90517,-0.032963,0.0
-166,68,-0.8767665528184255,264.97522,79.86,-2.241267850758608,9.217,0.18172,-0.054811,0.0
-165,54,-0.8311740853926423,277.01437,85.8,-0.6021775281834523,4.72259,0.81085,0.388811,0.67
-165,59,-0.853653990582922,273.40833,82.31,-2.204413466958073,0.02586,2.86238,-0.04461,0.0
-165,60,-0.8646540848620075,272.3414,81.78,-2.227302537769103,1.75602,0.25938,-0.052598,0.11
-165,61,-0.8455128734133842,271.84024,80.46,-2.209800799727125,0.84962,0.02095,-0.056617,0.7
-165,62,-0.8368814369375092,271.65091,80.28,-1.88478235439071,0.58206,1.37622,-0.042068,5.72
-165,63,-0.8547168891445893,271.04041,80.83,-2.2195670166474035,0.01387,0.2773,-0.051208,0.16
-165,64,-0.8538113770996414,269.68094,79.67,-1.7194833348996361,7.03859,2.13061,-0.056405,9.72
-165,65,-0.833040827953358,267.48785,79.71,-1.334808850508147,9.82257,1.45558,-0.037512,15.55
-165,66,-0.8627754828045222,267.9559,79.44,-1.9969587487241447,1.57375,0.0794,-0.035561,3.22
-165,67,-0.8807001912546656,267.25583,76.72,-2.1356476551818857,1.62297,0.76938,-0.036092,0.7
-165,68,-0.8780185494088144,264.95541,78.34,-2.2097775616010273,8.32664,0.08195,-0.047597,0.1
-164,54,-0.8321162938738755,277.22198,85.19,-0.7157679687252533,6.04316,0.60556,0.324771,2.84
-164,55,-0.8314076782426918,277.31308,,-0.29397195320412184,0.22318,1.54706,0.484185,0.0
-164,59,-0.8637820429580024,273.53879,80.88,-2.2120320888097997,0.09787,1.20506,-0.046869,0.01
-164,60,-0.8512425399276744,272.57324,80.27,-2.200468266770818,0.35915,0.04047,-0.043518,0.0
-164,61,-0.8322841524017041,271.97183,79.46,-2.1543978859690167,0.5397,0.12935,-0.036024,0.35
-164,62,-0.8285051581802824,271.6044,79.86,-1.601989431676542,2.81401,1.72516,-0.034099,10.4
-164,63,-0.8413312233335379,271.03275,80.8,-2.2364434461369944,0.04945,2.77944,-0.054377,0.06
-164,64,-0.8396000430541021,269.88318,78.6,-1.488969071792912,5.16644,1.83401,-0.020843,11.6
-164,65,-0.8367373810965577,267.48782,79.74,-1.6575225160906766,11.65856,0.86735,-0.040757,9.82
-164,66,-0.8735809451118995,267.71884,79.26,-2.084469363061248,0.46184,0.64365,-0.0377,1.75
-164,67,-0.8466799202819638,266.29184,75.51,-2.15000293497222,5.72413,1.81471,-0.03646,0.46
-164,68,-0.8456949201593003,264.2644,77.2,-2.2204535738249014,15.51011,0.10293,-0.0492,0.01
-164,69,-0.8757851304777771,264.52072,79.09,-2.2166211880503193,1.27874,1.17989,-0.047989,0.0
-163,54,-0.832632211010914,278.09814,82.43,-0.06683211936708322,1.42028,0.81165,0.540746,0.42
-163,55,-0.8247379303002825,276.60983,84.9,-0.50482056137179,8.01835,1.13946,0.391422,2.29
-163,58,-0.8490362030520916,274.67593,,-1.9850177052626403,0.21018,3.67555,0.016117,0.0
-163,59,-0.8591899756546834,273.5954,80.3,-2.157432346779447,0.03529,6.30096,-0.031606,0.0
-163,60,-0.8431071428861215,272.68674,79.28,-2.182592030024906,0.35257,2.40085,-0.03857,0.0
-163,61,-0.8416510966390254,272.13116,78.33,-2.046679730740094,1.12777,0.84263,-0.026489,1.7
-163,62,-0.8364472271210652,271.32553,79.62,-0.8591040838320516,10.59164,0.21564,-0.010999,22.55
-163,63,-0.8313771413780474,270.90228,80.65,-2.0868041349356927,2.21013,2.28277,-0.028882,1.12
-163,64,-0.8269716798561858,269.74759,78.96,-1.4884572315421325,7.25006,0.62272,-0.003876,10.48
-163,65,-0.8292823947795254,267.7933,79.07,-1.436379165218784,11.86728,1.20458,-0.02852,13.08
-163,66,-0.8488354917348752,267.42062,80.09,-2.1862360770872895,0.54263,3.16915,-0.04048,0.06
-163,67,-0.844477250704525,266.03293,74.32,-2.1093185255801767,7.02143,0.90039,-0.021293,0.2
-163,68,-0.8401025884242626,263.5639,77.04,-2.222000678049241,19.37928,0.29951,-0.049478,0.0
-163,69,-0.8767083476299121,263.55161,78.13,-2.219995562569455,4.12055,0.20238,-0.048923,0.0
-162,54,-0.8390821702620866,278.39093,,-0.008143644765797098,0.00873,0.25256,0.5633,0.0
-162,55,-0.8263608167281817,276.60291,84.34,-0.2605440470747047,7.38746,0.25034,0.390082,6.88
-162,56,-0.8322586215478173,276.87836,,-1.6144037210051843,0.00152,2.19786,0.1187,0.0
-162,58,-0.8589074996925452,274.6167,81.91,-0.8112448710513221,2.92777,0.71805,0.337703,0.22
-162,59,-0.8220868047237486,272.79672,80.72,-1.4624946507113772,9.03822,1.5977,0.147978,0.85
-162,60,-0.8236575882895617,272.80963,77.58,-2.052928240600256,0.78657,1.33884,-0.003281,0.04
-162,61,-0.8022261756377512,272.27542,77.53,-1.7158398693749677,3.6462,1.86581,-0.009878,6.69
-162,62,-0.8068013817695989,270.93329,79.42,-1.1317275702088523,12.97936,0.03438,0.007883,16.27
-162,63,-0.8164556461875246,270.33609,81.01,-2.0752196344066762,5.45475,0.86108,-0.031985,1.54
-162,64,-0.7919485432949452,270.09909,77.35,-1.58866362470833,1.69748,1.13299,0.002489,8.21
-162,65,-0.8180675861045649,268.32288,78.01,-0.9886811839403647,8.19671,1.82123,-0.028988,21.36
-162,66,-0.8246628846725537,267.64185,76.35,-2.019988755912326,1.5512,1.14351,-0.038931,3.02
-162,67,-0.8380793259089869,265.34735,75.02,-2.0398384281034114,20.09526,0.12844,-0.026999,1.86
-162,68,-0.8437797816208127,263.19577,77.0,-2.2147292319180516,19.60628,0.30608,-0.047916,0.03
-162,69,-0.8767256938406071,263.1586,78.22,-2.215609598258716,4.46227,0.09634,-0.047709,0.0
-161,54,-0.8394148978927343,278.54639,,0.06434398944398023,0.25358,0.0,0.583364,0.0
-161,55,-0.8231613242150275,276.86597,83.86,-0.4919901996951942,14.67973,0.6162,0.32632,6.86
-161,56,-0.826513112621709,276.73807,84.16,-0.33238678496627094,0.86579,0.8219,0.466191,0.49
-161,58,-0.8314998092451829,274.95337,81.0,-0.9293730511327749,1.28425,0.8055,0.306959,0.09
-161,59,-0.8059002847555173,272.09418,81.49,-1.4419107221897471,22.71655,0.30231,0.101547,4.32
-161,60,-0.8013843018177714,272.01089,78.46,-1.6971636200654565,11.30951,0.17552,0.016924,5.25
-161,61,-0.7963413991111031,272.42316,77.38,-1.6670278117200206,2.85043,1.60345,0.011745,6.15
-161,62,-0.796544147154195,271.53116,77.68,-0.4436847140296691,6.5817,1.03441,0.074241,24.53
-161,63,-0.8024709243162427,269.98053,79.16,-0.4878968879531771,15.32849,0.90526,0.015884,27.6
-161,64,-0.7943451164385166,269.79971,77.15,-0.7049577878222756,16.74901,0.33713,0.009434,24.03
-161,65,-0.8002857254472091,268.4866,77.0,-0.5364906511458306,9.8496,0.20651,-0.021903,29.22
-161,66,-0.8187494841750199,267.59766,75.83,-1.7938331337432363,6.33047,1.07413,-0.026208,6.34
-161,67,-0.8365704671023808,265.00748,75.7,-1.689361251986492,22.90127,0.29728,-0.035148,8.86
-161,68,-0.8465385311309986,262.88251,77.78,-2.110810148096469,23.50234,0.4262,-0.052352,2.24
