species,gmm_prob_0_mean,gmm_prob_1_mean,gmm_prob_2_mean,gmm_prob_3_mean,gmm_prob_4_mean,gmm_prob_5_mean,gmm_prob_6_mean,gmm_prob_7_mean,n_sequences,n_recordings,family_clean,social_bond,communal,territory,sexual_selection,mass,Beak.Length_Culmen,Beak.Width,Beak.Depth,Hand-Wing.Index,learners
Chlorothraupis_frenata,0.0652515870350877,0.21217610280403315,9.046646920639346e-06,0.04686473057709365,2.73986803036546e-06,0.6756330562716253,1.4717786448182117e-05,4.801901076153186e-05,38,4,Cardinalidae_(Cardinals_and_Allies),3.0,0.0,1.0,0.0,NA,NA,NA,NA,NA,Oscines
Chlorothraupis_olivacea,0.4456045372281636,0.4001718186707415,0.0019888016232472317,1.0550408896305655e-05,0.019394219529858748,0.13251669838042499,1.95974458848642e-05,0.00029377671278276135,18,2,Cardinalidae_(Cardinals_and_Allies),3.0,0.0,1.0,0.0,NA,NA,NA,NA,NA,Oscines
Chlorothraupis_stolzmanni,9.290298428697689e-26,1.338679590930355e-14,0.002334984925379917,0.1974425924319392,8.493672064913164e-06,5.3394257395749026e-05,0.7999858198497971,0.0001747148634106627,8,2,Cardinalidae_(Cardinals_and_Allies),3.0,0.0,1.0,0.0,NA,NA,NA,NA,NA,Oscines
Chondestes_grammacus,8.699404661920779e-05,0.011245245010766125,0.3391440011570643,0.05515925123304185,0.0984904532406234,0.16329217897911152,0.305469377125752,0.027112499207021756,79,15,Passerellidae_(New_World_Sparrows),2.0,0.0,2.0,1.0,29.0,15.1,5.1,7.1,28.8,Oscines
Chrysomma_altirostre,1.9555768840819577e-05,0.41617222589898595,5.335140805513589e-06,6.920488706949515e-06,0.013712168194712875,0.2497432636278798,0.005959690768965336,0.3143808401111022,16,5,Paradoxornithidae_(Parrotbills),NA,NA,NA,0.0,20.0,12.2,3.8,5.6,9.5,Oscines
Chrysomma_sinense,5.775723889454744e-05,0.08175824688648156,0.35118233762326,0.01148456787550402,0.07577056636516312,0.12071347921664444,0.3025449104139224,0.05648813438012982,19,4,Paradoxornithidae_(Parrotbills),3.0,1.0,3.0,0.0,17.16,13.8,3.7,5.3,9.6,Oscines
Chrysomus_icterocephalus,4.277425570273533e-05,0.10769817760621356,0.002483346974993154,0.1920840788196965,0.35785252439569626,0.12056045085830887,0.14358332292443501,0.07569532416495388,17,5,Icteridae_(Troupials_and_Allies),2.0,0.0,1.0,4.0,30.68,20.0,5.1,7.0,17.6,Oscines
Chrysomus_ruficapillus,0.0002962150243088271,0.04972604844784848,0.0220637803487392,0.3476791784896344,0.00038192777786901107,0.12983416400214898,0.17748997917120016,0.2725287067382505,41,12,Icteridae_(Troupials_and_Allies),2.0,0.0,1.0,4.0,32.0,19.9,5.1,7.4,19.7,Oscines
Chrysothlypis_salmoni,9.060926214529564e-15,0.19575149734162625,0.0011424937572750786,0.37043361451742196,0.00019148846977591264,0.07768513852764884,0.3065488378728938,0.04824692951334906,15,3,Thraupidae_(Tanagers_and_Allies),3.0,0.0,1.0,0.0,12.5,14.7,3.9,4.5,17.5,Oscines
Cichladusa_guttata,0.14643840961685717,0.4119326897929481,4.881396484426371e-05,0.0819719093958872,0.0659198775179994,0.24162489739851425,0.039337924411413025,0.012725477901536731,83,19,Muscicapidae_(Old_World_Flycatchers),3.0,0.0,2.0,0.0,23.11,19.1,3.9,4.3,11.6,Oscines
