species,gmm_prob_0_mean,gmm_prob_1_mean,gmm_prob_2_mean,gmm_prob_3_mean,gmm_prob_4_mean,gmm_prob_5_mean,gmm_prob_6_mean,gmm_prob_7_mean,n_sequences,n_recordings,family_clean,social_bond,communal,territory,sexual_selection,mass,Beak.Length_Culmen,Beak.Width,Beak.Depth,Hand-Wing.Index,learners
Abroscopus_albogularis,0.4265101027872047,0.0002195793052645931,0.5326360318416142,8.079364464282724e-15,0.022480928331136546,0.0020214111281393787,9.841561019186544e-16,0.01613194660663121,48,7,Scotocercidae_(Bush_Warblers_and_Allies),2.0,0.0,2.0,0.0,4.84,9.0,2.7,2.3,13.3,Oscines
Abroscopus_superciliaris,0.31089224726414894,0.6127029868705028,0.031069558610886984,0.03481209167969244,0.00010243198850683969,0.009602020474111093,5.237895702719949e-05,0.0007662841551230096,32,8,Scotocercidae_(Bush_Warblers_and_Allies),2.0,0.0,2.0,0.0,6.48,12.3,3.1,2.8,12.7,Oscines
Acanthagenys_rufogularis,0.2196594498647798,0.1113556662787522,0.01919266202956062,0.0647401985287731,0.024724819162090118,0.29083655397354574,0.21321426744747926,0.05627638271501938,94,20,Meliphagidae_(Honeyeaters),3.0,1.0,3.0,0.0,47.8,25.7,3.7,5.0,23.2,Oscines
Acanthis_flammea,7.247069424739284e-17,5.350422263950754e-08,0.013165294287280967,0.02425704299634301,0.4417225226542915,0.001924351559131543,0.16505781735421796,0.35387291764451223,40,5,"Fringillidae_(Finches,_Euphonias,_and_Allies)",3.0,0.0,2.0,1.0,13.0,11.4,4.5,6.5,33.1,Oscines
Acanthiza_apicalis,0.00017899944945867514,0.28314008142388697,0.02083388959409173,0.11649702774464381,0.038530204243597946,0.0988339674094044,0.3766941515268896,0.06529167860802702,34,6,Acanthizidae_(Thornbills_and_Allies),3.0,0.0,2.0,0.0,7.62,11.0,2.2,2.6,14.2,Oscines
Acanthiza_chrysorrhoa,2.9344212066914568e-05,0.052953235647934596,0.01771416678286572,0.0998069570022561,7.054300912812453e-05,0.13599090030083555,0.6662178446467497,0.027217008398162924,49,10,Acanthizidae_(Thornbills_and_Allies),3.0,0.0,3.0,0.0,9.29,11.7,2.1,2.5,15.6,Oscines
Acanthiza_ewingii,0.14175459591565562,0.16266045825297512,0.041895363852960575,0.10273599564121158,0.005756062775616389,0.3391521580680938,0.12117448094477333,0.08487088454871335,19,5,Acanthizidae_(Thornbills_and_Allies),3.0,0.0,2.0,0.0,6.9,10.7,1.9,2.5,16.3,Oscines
Acanthiza_katherina,4.0346592996086274e-10,0.07201445610856798,2.6253197550867908e-05,0.8382378229986355,3.4630796112498465e-08,8.942880996250605e-07,0.08971936745589636,1.170916987626115e-06,14,5,Acanthizidae_(Thornbills_and_Allies),3.0,0.0,3.0,0.0,7.2,11.5,2.4,2.6,17.6,Oscines
Acanthiza_lineata,3.354254342400455e-19,6.030055010624882e-05,0.0007704287716128816,0.2943634255968513,0.5177811641114057,0.00017505273851259646,0.12297521452534903,0.06387441370616317,16,2,Acanthizidae_(Thornbills_and_Allies),3.0,0.0,3.0,0.0,6.85,9.9,2.1,2.8,19.1,Oscines
Acanthiza_pusilla,0.00855390866693643,0.1736763674706621,0.16629916806407927,0.1940520414795309,0.05212837604690186,0.10917910064883658,0.1950181758348472,0.10109286178820509,76,18,Acanthizidae_(Thornbills_and_Allies),3.0,0.0,3.0,1.0,7.62,11.2,2.1,2.6,14.6,Oscines
Acanthiza_reguloides,1.1447440664588608e-14,0.0013835109049867129,0.4067960718360001,0.3931553727405244,0.017536380958111414,0.007179946023384266,2.681670338348217e-05,0.17392190083359796,5,1,Acanthizidae_(Thornbills_and_Allies),3.0,0.0,3.0,0.0,7.7,11.0,2.2,2.6,14.0,Oscines
Acanthiza_uropygialis,1.133523672020509e-06,0.1391397701100848,0.005178261073361189,0.07229719762623119,0.0003189154704175288,0.21513803497177547,0.567711914144786,0.00021477307967208954,66,9,Acanthizidae_(Thornbills_and_Allies),3.0,0.0,3.0,0.0,6.4,10.2,2.0,2.3,15.0,Oscines
Acanthorhynchus_tenuirostris,0.06747320850486004,0.06905033954189321,0.028453556568414893,0.5276409546336076,0.0007098647276027084,0.07961422501701437,0.21383259318191256,0.013225257824694702,54,12,Meliphagidae_(Honeyeaters),3.0,0.0,2.0,0.0,10.44,26.8,2.3,2.7,20.6,Oscines
Acridotheres_cristatellus,5.929946502219177e-16,5.760195540446529e-05,0.8333383505899107,0.11395256753212755,5.290531440064397e-07,8.539337617554581e-08,0.052650003000441065,8.62475595241559e-07,12,2,Sturnidae_(Starlings),3.0,0.0,1.0,0.0,116.31,27.1,6.1,8.1,24.1,Oscines
Acridotheres_tristis,0.00046595506323980266,0.0696425433428665,0.0030057477633938126,0.13465368746822606,0.22397208647568945,0.12203321992453502,0.43564080109729036,0.010585958864758313,24,8,Sturnidae_(Starlings),3.0,1.0,1.0,0.0,116.43,26.8,6.4,8.0,23.6,Oscines
Acritillas_indica,7.406889862146318e-07,0.7050841990640642,4.02619635935675e-13,7.444858387890855e-23,1.0519460699898751e-10,0.2949142817130718,7.674112453077959e-07,1.1017036060521067e-08,4,1,Pycnonotidae_(Bulbuls),3.0,0.0,2.0,NA,30.6,20.1,4.8,4.9,15.7,Oscines
Acrobatornis_fonsecai,1.062933849810605e-11,3.718664514336952e-07,5.106896430589609e-06,0.3818399232454907,2.753013090955466e-06,0.25184770407404306,0.3644112939423913,0.0018928469514744785,3,2,Furnariidae_(Ovenbirds_and_Woodcreepers),3.0,1.0,3.0,0.0,13.7,10.4,3.0,3.6,21.2,Non-Oscines
Acrocephalus_agricola,0.12408954093682979,0.0004221194115030532,3.2410043744835496e-05,0.0019397015074954329,0.009513980148386279,0.2823656892201698,0.5175081215299475,0.064128437201923,17,4,Acrocephalidae_(Reed_Warblers_and_Allies),2.0,0.0,2.0,0.0,9.6,13.6,3.2,2.8,18.4,Oscines
Acrocephalus_australis,1.5052583005931066e-09,0.11863103896852813,0.018946227080513457,0.4112971305313583,0.0028139228628367456,0.005258735895502476,0.435930519517333,0.0071224236386695115,57,15,Acrocephalidae_(Reed_Warblers_and_Allies),2.0,0.0,2.0,2.0,17.7,19.9,3.8,4.1,22.9,Oscines
Acrocephalus_bistrigiceps,3.875591121143153e-11,8.728014154864365e-06,0.008797119115674676,0.30721320492331117,0.08310022851261563,0.05704437376311253,0.15800123190079193,0.3858351137315831,34,6,Acrocephalidae_(Reed_Warblers_and_Allies),2.0,0.0,2.0,1.0,8.67,13.4,3.0,2.6,21.9,Oscines
Acrocephalus_dumetorum,0.03444526819371892,0.083806299330215,0.008884772106592944,0.04285887995809555,0.039421513375708366,0.44096484764081934,0.28674607991002565,0.06287233948482414,163,14,Acrocephalidae_(Reed_Warblers_and_Allies),2.0,0.0,2.0,1.0,11.2,16.4,3.6,3.1,20.4,Oscines
Acrocephalus_gracilirostris,0.05298658856904737,0.15865766726633243,0.041206325864374005,0.0022545697952015,0.041072085629580216,0.24930329959403438,0.3789733840173916,0.07554607926403871,48,11,Acrocephalidae_(Reed_Warblers_and_Allies),3.0,0.0,2.0,0.0,14.4,17.8,3.5,3.5,12.6,Oscines
Acrocephalus_melanopogon,6.998176142522086e-06,0.0029642499446312135,0.020218208956069645,0.22690162614032272,0.0010897733274388033,0.08660152830223435,0.6573336154388193,0.004883999714341572,51,9,Acrocephalidae_(Reed_Warblers_and_Allies),2.0,0.0,2.0,2.0,10.9,12.7,2.6,2.5,19.3,Oscines
Acrocephalus_newtoni,4.6176777296887194e-08,0.001270568970355228,0.0391262753370714,0.04929514422714096,0.011898116383014424,0.7175345413722929,0.016645768240015943,0.16422953929333137,9,3,Acrocephalidae_(Reed_Warblers_and_Allies),3.0,0.0,3.0,0.0,17.0,18.1,3.7,3.6,14.9,Oscines
Acrocephalus_orientalis,7.798441188676089e-16,4.62825164801738e-09,0.01173649414655573,0.5565061476471455,0.0006122377750097959,0.011772699437257226,0.2508406172035786,0.16853179916220073,106,13,Acrocephalidae_(Reed_Warblers_and_Allies),2.0,0.0,2.0,2.0,23.5,20.8,4.6,4.8,20.9,Oscines
Acrocephalus_paludicola,4.335055648881619e-05,0.009296203824071782,0.2261328494606644,0.05106818583186952,0.5971397852008972,0.041942370484251486,0.05410000221830496,0.02027725242345155,117,12,Acrocephalidae_(Reed_Warblers_and_Allies),2.0,0.0,2.0,2.0,11.6,12.3,2.6,2.9,28.4,Oscines
Acrocephalus_palustris,0.00913679534008075,0.018355169751851818,0.05615883510606327,0.27830408027383396,0.01602469809426969,0.1034872298386007,0.5011188873407363,0.01741430425456343,110,18,Acrocephalidae_(Reed_Warblers_and_Allies),3.0,0.0,2.0,2.0,11.5,16.1,3.3,3.3,27.9,Oscines
Acrocephalus_schoenobaenus,0.03381112825256922,0.0004697123244718288,0.20803482905890908,0.16195890250196418,0.07465435016868201,0.1401579322372355,0.2878278822764469,0.09308526317972117,64,12,Acrocephalidae_(Reed_Warblers_and_Allies),2.0,0.0,2.0,2.0,11.83,14.9,2.9,2.8,28.2,Oscines
Acrocephalus_scirpaceus,4.806937809131378e-10,1.017174147718627e-06,0.053745517735885345,0.464641703834847,8.349996330527403e-05,0.12095489288694197,0.34598797089643707,0.014585397027741899,19,7,Acrocephalidae_(Reed_Warblers_and_Allies),2.0,0.0,2.0,1.0,12.3,18.2,3.2,2.9,24.3,Oscines
Acrocephalus_stentoreus,1.0202237924813459e-10,0.006481897255938731,0.012194654306723274,0.4364465697133312,0.02825082308676241,0.020264732565163222,0.30056995064707503,0.19579137232298363,78,15,Acrocephalidae_(Reed_Warblers_and_Allies),2.0,0.0,2.0,2.0,24.2,24.6,4.4,4.6,22.6,Oscines
Acropternis_orthonyx,0.2028831100857446,0.35885467973154034,6.211755270726812e-07,0.015724533551127493,0.00021761231398652477,0.40925144337498653,0.011748501713499095,0.001319498053588074,123,16,Rhinocryptidae_(Tapaculos),3.0,0.0,3.0,0.0,89.86,22.9,4.5,6.5,5.5,Non-Oscines
Actinodura_cyanouroptera,0.05982694416593686,0.8068302653709821,6.84747273552493e-08,0.03248102837970506,3.4628049204111957e-06,0.100825998280167,1.1704354159224332e-05,2.052816940204029e-05,31,5,Leiothrichidae_(Laughingthrushes_and_Allies),3.0,0.0,2.0,0.0,17.0,14.7,3.2,3.9,9.9,Oscines
Actinodura_nipalensis,0.05466787568169473,0.2776860369178099,1.6144826248297527e-05,0.00023952200396870602,7.647276530708656e-09,0.6673844874593537,5.43916856876653e-06,4.862950796964146e-07,7,1,Leiothrichidae_(Laughingthrushes_and_Allies),3.0,1.0,3.0,0.0,43.87,20.8,4.1,5.0,16.6,Oscines
Actinodura_strigula,0.0005073853812300439,0.7484938809729258,0.0009953618033981823,0.05214026306245595,0.006533275769737199,0.0984767698765518,0.09188524599019965,0.0009678171435014285,39,7,Leiothrichidae_(Laughingthrushes_and_Allies),3.0,0.0,2.0,0.0,19.2,14.4,3.5,4.0,14.1,Oscines
Actinodura_waldeni,0.0015475543444931062,0.9052606237352054,5.387857029312024e-10,3.150130724128093e-13,1.9921532127275198e-08,0.09313234493722762,4.9325341994092076e-05,1.013118044629283e-05,8,2,Leiothrichidae_(Laughingthrushes_and_Allies),3.0,1.0,3.0,1.0,NA,NA,NA,NA,NA,Oscines
Aegithalos_caudatus,0.00014364023134844382,0.31240333793145814,0.018365403741535877,0.16112603794247912,0.23931371026068599,0.01231064790036208,0.19049673379230567,0.06584048819982445,21,3,Aegithalidae_(Long-tailed_Tits),2.0,0.0,2.0,0.0,8.6,7.6,2.5,3.3,22.0,Oscines
Aegithina_tiphia,0.20729241178886976,0.4987665845142933,0.011562581455636005,0.11498012215939177,5.0721133215547085e-05,0.15412448583586047,0.013088671722177469,0.00013442139055508796,73,9,Aegithinidae_(Ioras),3.0,0.0,2.0,0.0,12.0,17.0,4.3,4.5,10.0,Oscines
Aegithina_viridissima,1.8597989575571254e-07,0.6640196634571572,9.990111013136122e-08,0.2805065697715149,1.8106066828940414e-08,8.784678348662317e-05,0.05538349279117844,2.123209589985991e-06,26,6,Aegithinidae_(Ioras),3.0,0.0,2.0,0.0,13.4,15.9,4.2,4.4,11.4,Oscines
Aethomyias_nigrorufus,0.7816388961305273,0.21835851859725525,2.0256783843603562e-09,2.7932998455862523e-13,3.0534234039570226e-09,2.580123488689265e-06,4.009779946263603e-37,6.934736304631921e-11,4,1,Acanthizidae_(Thornbills_and_Allies),3.0,0.0,3.0,0.0,15.9,16.0,3.2,3.5,11.4,Oscines
Aethomyias_papuensis,1.2197528612926348e-08,0.03225550939752185,2.114544199835711e-05,0.7414253583383035,7.676160398325768e-06,4.776767333432702e-05,0.22264485159934536,0.003597679191569245,31,8,Acanthizidae_(Thornbills_and_Allies),3.0,0.0,3.0,0.0,11.2,12.0,2.6,2.8,11.7,Oscines
Aethomyias_perspicillatus,1.2237271454049774e-14,0.5904228709482472,2.5879728643167986e-08,0.3372237385125025,3.1220757155278584e-11,1.9286167208841129e-07,0.0723531688846967,2.8819195530716167e-09,3,2,Acanthizidae_(Thornbills_and_Allies),3.0,0.0,3.0,0.0,9.0,13.5,2.9,3.0,12.2,Oscines
Aethopyga_gouldiae,0.0005074548107828016,0.5608147898926991,6.141890624634798e-07,0.024544763732649365,4.0483666617921764e-05,0.2979114763398468,0.11286105127293683,0.0033193660954046644,77,2,Nectariniidae_(Sunbirds_and_Spiderhunters),3.0,0.0,2.0,0.0,5.0,17.9,3.2,2.9,21.1,Oscines
Aethopyga_ignicauda,1.877453875318133e-17,9.301169347715898e-09,0.17681645431169604,0.2151815331396162,0.0004131669988677102,0.014635663290777815,0.5821181008417439,0.010835072116129227,41,6,Nectariniidae_(Sunbirds_and_Spiderhunters),3.0,0.0,2.0,0.0,8.2,21.3,3.5,2.9,16.0,Oscines
Aethopyga_saturata,4.240247823858348e-22,2.6874731349027477e-06,0.20717974318340487,0.09057007183594759,0.000198569024306863,0.004388055105847769,0.6842118181406517,0.013449055236706382,10,3,Nectariniidae_(Sunbirds_and_Spiderhunters),3.0,0.0,2.0,0.0,5.3,22.0,3.2,3.1,16.2,Oscines
Aethopyga_shelleyi,3.3006300148992737e-24,1.2105244975880452e-07,0.07515518616772641,0.09682762450155824,0.1576141003275234,0.07339608783682071,0.12942582623823173,0.46758105387568943,46,2,Nectariniidae_(Sunbirds_and_Spiderhunters),3.0,0.0,2.0,0.0,4.0,16.1,3.2,2.6,15.6,Oscines
Aethopyga_siparaja,1.4252519820309853e-11,0.1378708929242358,0.0029881950454945534,0.25612884206172615,0.17994927095724478,0.16665711815493595,0.17960861497358946,0.07679706586852009,22,3,Nectariniidae_(Sunbirds_and_Spiderhunters),3.0,0.0,2.0,0.0,6.7,19.0,3.4,2.4,17.4,Oscines
Aethopyga_temminckii,0.0034002505506344647,0.38082929126848863,0.0006414586945230499,0.02373827565228537,0.02676854651939347,0.17741490087579018,0.2770196282383367,0.11018764820054798,45,4,Nectariniidae_(Sunbirds_and_Spiderhunters),3.0,0.0,2.0,0.0,6.0,16.5,2.9,2.6,16.2,Oscines
Agelaioides_badius,0.03883583627838112,0.2242786964956656,0.008949408254403157,0.0390519060952509,0.08151560677559336,0.49367640583659556,0.07691873180694843,0.03677340845716198,90,14,Icteridae_(Troupials_and_Allies),2.0,0.0,1.0,1.0,45.25,18.9,5.0,8.4,18.1,Oscines
Agelaius_phoeniceus,1.0045590112249735e-05,0.017828369306472736,0.040693879446454966,0.09813157393891535,0.30493762794967655,0.08508758183934648,0.09788939983809371,0.355421522090928,81,17,Icteridae_(Troupials_and_Allies),2.0,0.0,2.0,3.0,50.78,22.7,5.6,8.8,24.0,Oscines
Agelasticus_cyanopus,2.2554530290612704e-13,0.12858136898171743,0.33334226050718613,0.0008539231257072003,3.0139468780393584e-07,0.06821836797975282,0.4689910212959658,1.275671475800184e-05,3,2,Icteridae_(Troupials_and_Allies),2.0,0.0,2.0,0.0,37.21,24.2,5.1,7.8,15.3,Oscines
Agelasticus_thilius,0.011174708137922823,0.11729699870208145,0.00015953221855107577,0.18971059355794906,0.11572472905762334,0.2656877862439348,0.23495750943380067,0.06528814264813716,32,7,Icteridae_(Troupials_and_Allies),2.0,1.0,1.0,0.0,31.5,23.0,4.6,7.1,18.3,Oscines
Agelasticus_xanthophthalmus,2.4959390321273543e-08,2.57013511786934e-05,0.14301749110713988,0.6796609351386736,1.7525504171341627e-05,8.803119004959816e-06,0.17725843549508155,1.108332535991694e-05,7,3,Icteridae_(Troupials_and_Allies),3.0,1.0,2.0,0.0,45.1,23.4,5.7,7.7,16.1,Oscines
Agriornis_montanus,5.0615575193807774e-06,3.187466880054261e-07,1.279112231197218e-29,6.839019876081115e-65,7.61128762194036e-16,0.9999946196945311,5.380055423863868e-23,1.2591041014907573e-12,5,3,Tyrannidae_(Tyrant_Flycatchers),3.0,0.0,2.0,0.0,63.3,30.4,5.8,5.7,25.1,Non-Oscines
Ailuroedus_crassirostris,4.9536403268798275e-11,0.00015810473585639386,2.2924886413362715e-06,0.9864632360693222,4.932193120753668e-10,2.2842489247320463e-09,0.013376223383213004,1.4049596253399007e-07,15,3,Ptilonorhynchidae_(Bowerbirds),3.0,0.0,3.0,0.0,205.32,33.7,9.6,14.4,19.4,Oscines
Ailuroedus_maculosus,6.958928892664546e-06,0.19653901894026918,2.1125108565008737e-07,0.8005399571833116,1.4540460144287181e-06,4.0432258144291025e-07,0.002858118730667587,5.387659717711827e-05,36,10,Ptilonorhynchidae_(Bowerbirds),3.0,0.0,3.0,0.0,176.89,37.5,10.7,16.0,20.5,Oscines
Aimophila_notosticta,6.009763042032762e-34,8.376394457015638e-13,0.01740342530292049,0.009592246891119597,2.3854049562454755e-06,0.00043689702793836267,0.9719839611552579,0.0005810842169698834,6,3,Passerellidae_(New_World_Sparrows),3.0,0.0,3.0,0.0,27.1,15.9,5.2,6.3,8.3,Oscines
Aimophila_rufescens,1.199289975856364e-18,8.132121420451738e-06,0.023624763338819032,0.2084795034375296,0.0001791003705405985,0.057332811914511596,0.6842904251149298,0.02608526370224886,76,12,Passerellidae_(New_World_Sparrows),3.0,0.0,3.0,0.0,34.3,18.1,6.2,9.3,9.1,Oscines
Aimophila_ruficeps,5.77944119081269e-12,0.0010534782732502187,0.08517644065860908,0.2660301803584171,0.01209092835881236,0.08952667514065536,0.5443952208132972,0.001727076391179529,84,19,Passerellidae_(New_World_Sparrows),3.0,1.0,3.0,0.0,18.69,14.9,4.1,5.0,12.8,Oscines
Alaemon_alaudipes,0.8979451122211837,0.008221173988072237,9.74832290859793e-05,0.02622989344790215,0.000510456113746739,0.0003268140537437022,2.1030452808735066e-09,0.06666906484322,75,11,Alaudidae_(Larks),3.0,0.0,2.0,0.0,43.72,29.0,5.0,5.1,28.0,Oscines
Alauda_arvensis,0.0006508350003397806,0.0179235406682993,0.0048737980466923795,0.0003628523912188319,0.032873027172282285,0.1312125344115164,0.6427288124934555,0.16937459981619576,23,11,Alaudidae_(Larks),2.0,0.0,2.0,1.0,37.31,14.6,4.4,4.7,33.6,Oscines
Alauda_gulgula,1.7172154598957696e-19,2.6606726683697148e-17,6.782856647253715e-05,9.15978950231782e-10,0.12369705903367274,0.0015411615032948824,0.4657886406632432,0.40890530931733815,19,6,Alaudidae_(Larks),2.0,0.0,2.0,0.0,26.3,14.8,4.3,4.6,27.5,Oscines
Alaudala_cheleensis,2.6014961053568303e-15,2.3415016439060177e-09,0.015472579642348135,3.253782396452094e-05,0.034679432073674306,0.17645686090853618,0.4467689717471702,0.3265896154628032,58,4,Alaudidae_(Larks),3.0,0.0,2.0,0.0,NA,NA,NA,NA,NA,Oscines
Alaudala_heinei,3.0342384101129427e-19,5.502660187099445e-08,0.016221391339237556,1.504123083552494e-05,0.07190324207102151,0.05853057661040349,0.516651760619224,0.3366779331026757,43,5,Alaudidae_(Larks),3.0,0.0,2.0,0.0,NA,NA,NA,NA,NA,Oscines
Alaudala_rufescens,1.3078044478980393e-08,1.9184459411397593e-11,0.0008149739506471982,0.06353704999078802,0.08716069813789795,0.1500115931501575,0.6151279311584282,0.08334774051485194,20,4,Alaudidae_(Larks),3.0,0.0,2.0,0.0,24.1,11.2,4.0,4.7,29.6,Oscines
Alcippe_brunneicauda,0.07775111701301343,0.8492923700399985,0.00029619655364198527,0.0717460076891919,0.000622908307608276,6.065356860261429e-06,0.0002847451468065523,5.898928791376979e-07,56,17,Leiothrichidae_(Laughingthrushes_and_Allies),3.0,0.0,3.0,0.0,14.3,13.9,3.6,4.2,14.8,Oscines
Alcippe_davidi,6.754290531142525e-10,0.6585394142124842,1.2165357428311932e-06,0.0067326134976881,4.2659684025649115e-09,1.708712418667672e-06,0.3347248150566077,2.2704366050275092e-07,3,2,Leiothrichidae_(Laughingthrushes_and_Allies),3.0,0.0,2.0,0.0,15.26,12.3,3.0,3.8,13.2,Oscines
Alcippe_morrisonia,6.115585065554665e-07,0.7479420464931698,2.019021892093998e-08,1.702309846047048e-05,1.866384138411743e-09,6.400377421488799e-06,0.25203362002033214,2.7639550549835354e-07,4,2,Leiothrichidae_(Laughingthrushes_and_Allies),3.0,0.0,2.0,0.0,15.26,12.3,3.0,3.8,13.2,Oscines
Alcippe_peracensis,5.2715924399312634e-06,0.9722607458864629,1.0322031824775187e-07,0.020796803209806355,4.4779823600529764e-08,0.00014910431983431761,0.006787130186325991,7.968049884706642e-07,15,5,Leiothrichidae_(Laughingthrushes_and_Allies),3.0,0.0,3.0,0.0,14.3,14.0,3.2,3.8,12.6,Oscines
Alcippe_poioicephala,0.01740791314997351,0.8479270090643385,2.8456822486282855e-07,0.11197103963378795,4.672756783543606e-08,0.022611590918280956,8.191450910030467e-05,2.0142872560284254e-07,31,10,Leiothrichidae_(Laughingthrushes_and_Allies),3.0,1.0,3.0,0.0,20.7,14.7,3.6,4.2,10.9,Oscines
Alcippe_pyrrhoptera,0.06824480614030647,0.8573275395771028,5.742364063125403e-07,0.07431502242940057,5.618429293013477e-07,7.57379661326122e-05,3.274227920796712e-05,3.015528514090875e-06,29,7,Leiothrichidae_(Laughingthrushes_and_Allies),3.0,1.0,3.0,0.0,16.3,13.7,3.4,3.9,12.4,Oscines
Alethe_castanea,0.93094488475499,0.06899042065656767,9.370340692611422e-07,3.558543157561707e-12,6.26664577352603e-05,1.091080785801157e-06,9.477606721406775e-34,1.229342053820249e-11,21,3,Muscicapidae_(Old_World_Flycatchers),3.0,0.0,2.0,0.0,31.54,18.6,5.4,5.3,16.9,Oscines
Alethe_diademata,0.8973059275630668,9.945325285725595e-05,0.009103283559427902,3.3679880749823723e-07,0.045845049948317125,0.04759543326850245,6.555076617636564e-07,4.9860101359654624e-05,21,3,Muscicapidae_(Old_World_Flycatchers),3.0,0.0,2.0,0.0,31.54,18.8,4.2,5.3,16.4,Oscines
Alophoixus_flaveolus,1.261136097995057e-31,6.432556516390005e-11,1.8910859756257558e-05,0.00042208714590562,3.108441988044224e-05,0.0001458578008480056,0.0013846705051168118,0.9979973892041671,5,1,Pycnonotidae_(Bulbuls),3.0,1.0,3.0,0.0,48.3,20.5,5.4,7.1,16.5,Oscines
Alophoixus_ochraceus,0.22109755505350373,0.22004803888009078,0.0001235286266329575,0.18930952605552034,0.0029893172491344483,0.026253833284017373,0.30144083362683155,0.038737367224268925,39,5,Pycnonotidae_(Bulbuls),3.0,0.0,3.0,0.0,41.45,21.5,5.0,7.0,17.8,Oscines
Alophoixus_phaeocephalus,2.3117977173343207e-05,0.21155869776452835,0.0015232485883657381,0.052835293891362475,0.19616290197673378,0.33342695768276565,0.012129568815584888,0.1923402133034854,37,2,Pycnonotidae_(Bulbuls),3.0,0.0,3.0,0.0,32.0,20.5,5.4,6.5,13.8,Oscines
Alopochelidon_fucata,9.760800216931999e-11,0.0003760470372309175,0.07883430422805607,0.00011448632121819882,0.022763569499987004,0.2318088070858067,0.6560584209877811,0.010044364742312758,10,3,Hirundinidae_(Swallows),2.0,0.0,1.0,0.0,13.96,9.2,3.7,2.3,49.9,Oscines
Amalocichla_incerta,0.6554117101459801,0.3064980047136515,9.333654637346352e-05,1.162467922857843e-08,0.02743129174454392,0.010564730187881795,2.906805912772189e-12,9.150339825809584e-07,22,7,Petroicidae_(Australasian_Robins),3.0,0.0,2.0,0.0,32.7,17.1,4.0,4.3,11.6,Oscines
Amalocichla_sclateriana,0.941578145517555,0.02581001966192945,0.032079226040832375,1.0814597743927971e-24,0.00044831048555469643,8.429822111486981e-05,8.51382446287637e-27,7.301347265900544e-11,19,5,Petroicidae_(Australasian_Robins),3.0,0.0,3.0,0.0,54.7,25.8,4.7,7.2,7.9,Oscines
Amaurospiza_aequatorialis,6.809246724100903e-18,0.08799969457760314,8.419045969562975e-07,0.2250396837244964,1.7325337478516268e-08,0.0004971933616787003,0.6864580567329824,4.512373305293057e-06,16,6,Cardinalidae_(Cardinals_and_Allies),2.0,0.0,2.0,0.0,NA,NA,NA,NA,NA,Oscines
Amaurospiza_moesta,7.04207073961586e-08,0.08855822921920589,1.5205299161464316e-05,0.6099436657389147,1.4220934146847515e-06,0.007627263537931349,0.2938210201764317,3.3123514232549705e-05,41,9,Cardinalidae_(Cardinals_and_Allies),2.0,0.0,2.0,0.0,13.6,12.5,5.8,6.8,14.9,Oscines
Amblycercus_holosericeus,0.0899945802112715,0.49270804752025016,7.19536838484035e-06,0.06409331391606828,0.05128392460500258,0.30177166736585753,0.00010440431257121435,3.686670059335594e-05,39,8,Icteridae_(Troupials_and_Allies),3.0,1.0,3.0,0.0,70.42,30.3,7.0,9.8,10.6,Oscines
Amblyospiza_albifrons,1.3288759685773628e-09,0.02277652166373918,0.12016479760858502,0.2427206137741313,0.14232706329937944,0.09693031397710032,0.16041366477018557,0.21466702357800266,7,3,Ploceidae_(Weavers_and_Allies),2.0,0.0,1.0,3.0,41.59,19.8,9.2,14.9,16.8,Oscines
Amblyramphus_holosericeus,0.11076065161806342,0.24644178776080455,0.1371103083027396,0.0023550286526487526,0.00014303165417385428,0.2906317596349374,0.16816930002130467,0.044388132355327944,26,4,Icteridae_(Troupials_and_Allies),2.0,0.0,2.0,0.0,56.76,30.7,6.8,9.7,12.2,Oscines
Ammodramus_aurifrons,1.2344393819021865e-09,0.004355964748777089,7.4310511182065945e-06,3.4369200731901196e-05,0.9400012856150644,0.007682001321572024,1.0859393780521719e-05,0.04790808743451656,83,16,Passerellidae_(New_World_Sparrows),2.0,0.0,2.0,0.0,17.8,14.0,4.2,5.4,9.7,Oscines
Ammodramus_humeralis,0.009294400276454094,0.00014186199052041164,1.7944672784138957e-06,6.0086869059571455e-18,0.8727026349033119,0.017969863747919024,1.6610563505049537e-15,0.09988944461451527,40,18,Passerellidae_(New_World_Sparrows),2.0,0.0,2.0,0.0,15.99,12.6,4.5,6.3,4.3,Oscines
Ammodramus_savannarum,5.6349617904043995e-14,3.635636938670123e-14,0.00018979462730657584,3.886184330060158e-08,0.6696486058863843,2.6839669908706285e-05,0.10724749872041038,0.22288722223405427,72,21,Passerellidae_(New_World_Sparrows),2.0,0.0,2.0,2.0,17.61,13.8,4.5,6.1,21.1,Oscines
Ammomanes_cinctura,0.39627949889397657,6.996410842587579e-05,2.7955489633800186e-08,2.3511211133105577e-19,0.2058596007023328,0.24483101859803186,0.0005862439012681594,0.15237364584047478,22,2,Alaudidae_(Larks),2.0,0.0,2.0,0.0,18.13,12.5,4.1,4.4,27.7,Oscines
Ammomanes_deserti,3.0098712199730896e-07,2.341046755088131e-08,0.00947529079635349,3.2876095766504435e-13,0.2429243186971982,0.6670623425101018,0.050732227083593956,0.02980549651483386,48,4,Alaudidae_(Larks),2.0,0.0,2.0,0.0,23.8,16.3,4.4,5.6,24.1,Oscines
