species,gmm_prob_0_mean,gmm_prob_1_mean,gmm_prob_2_mean,gmm_prob_3_mean,gmm_prob_4_mean,gmm_prob_5_mean,gmm_prob_6_mean,gmm_prob_7_mean,family,hfp_mean,ndvi_mean,temp_mean,height_m_mean,richness_mean,ruggedness_mean,social_bond,communal,sexual_selection,mass,beak_shape_PC1
Abroscopus_albogularis,0.4265101027872047,0.0002195793052645931,0.5326360318416142,8.079364464282724e-15,0.022480928331136546,0.0020214111281393787,9.841561019186544e-16,0.01613194660663121,Scotocercidae (Bush Warblers and Allies),14.077251851851852,0.5888840518518519,292.3664857037037,9.954732510288066,112.01481481481481,35.58628244444445,2.0,0.0,0.0,4.84,-2.4709896281131156
Abroscopus_superciliaris,0.31089224726414894,0.6127029868705028,0.031069558610886984,0.03481209167969244,0.00010243198850683969,0.009602020474111093,5.237895702719949e-05,0.0007662841551230096,Scotocercidae (Bush Warblers and Allies),12.791058444976077,0.6809073547619048,297.3267524761905,14.716723549488055,102.53333333333333,19.642792071428573,2.0,0.0,0.0,6.48,-1.849490277412662
Acanthagenys_rufogularis,0.2196594498647798,0.1113556662787522,0.01919266202956062,0.0647401985287731,0.024724819162090118,0.29083655397354574,0.21321426744747926,0.05627638271501938,Meliphagidae (Honeyeaters),4.95797705882353,0.2902904174603175,294.3066139523809,10.720930232558139,52.08888888888889,3.1946423174603176,3.0,1.0,0.0,47.8,-0.4336223616295233
Acanthis_flammea,7.247069424739284e-17,5.350422263950754e-08,0.013165294287280967,0.02425704299634301,0.4417225226542915,0.001924351559131543,0.16505781735421796,0.35387291764451223,"Fringillidae (Finches, Euphonias, and Allies)",3.151187431568176,0.08219907373506229,268.90264897689764,11.96679245283019,43.0974866717441,9.562221566387409,3.0,0.0,1.0,13.0,-0.7841322035889071
Acanthiza_apicalis,0.00017899944945867514,0.28314008142388697,0.02083388959409173,0.11649702774464381,0.038530204243597946,0.0988339674094044,0.3766941515268896,0.06529167860802702,Acanthizidae (Thornbills and Allies),4.464492311111111,0.2566407311111111,294.1766323555555,11.058823529411764,47.35777777777778,2.2273006444444445,3.0,0.0,0.0,7.62,-2.378372157989278
Acanthiza_chrysorrhoa,2.9344212066914568e-05,0.052953235647934596,0.01771416678286572,0.0998069570022561,7.054300912812453e-05,0.13599090030083555,0.6662178446467497,0.027217008398162924,Acanthizidae (Thornbills and Allies),5.931239236499068,0.32573128810408924,292.7528354275093,11.875,56.899628252788105,3.87851717472119,3.0,0.0,0.0,9.29,-2.4017687471590325
Acanthiza_ewingii,0.14175459591565562,0.16266045825297512,0.041895363852960575,0.10273599564121158,0.005756062775616389,0.3391521580680938,0.12117448094477333,0.08487088454871335,Acanthizidae (Thornbills and Allies),6.960693181818183,0.6385512608695653,285.68674826086954,14.571428571428571,39.73913043478261,6.415176956521741,3.0,0.0,0.0,6.9,-2.5917360568674574
Acanthiza_katherina,4.0346592996086274e-10,0.07201445610856798,2.6253197550867908e-05,0.8382378229986355,3.4630796112498465e-08,8.942880996250605e-07,0.08971936745589636,1.170916987626115e-06,Acanthizidae (Thornbills and Allies),4.57761,0.7171115714285714,296.35771428571434,10.2,96.85714285714286,10.852461428571429,3.0,0.0,0.0,7.2,-2.2454082831554
Acanthiza_lineata,3.354254342400455e-19,6.030055010624882e-05,0.0007704287716128816,0.2943634255968513,0.5177811641114057,0.00017505273851259646,0.12297521452534903,0.06387441370616317,Acanthizidae (Thornbills and Allies),10.00791269503546,0.4785284964539008,290.0021645390071,11.125,89.24113475177305,7.324464964539007,3.0,0.0,0.0,6.85,-2.4621745359281286
Acanthiza_pusilla,0.00855390866693643,0.1736763674706621,0.16629916806407927,0.1940520414795309,0.05212837604690186,0.10917910064883658,0.1950181758348472,0.10109286178820509,Acanthizidae (Thornbills and Allies),9.340888750000001,0.5143835502958579,289.8107,11.977272727272727,83.23076923076923,7.309689289940829,3.0,0.0,1.0,7.62,-2.4089743750206782
Acanthiza_reguloides,1.1447440664588608e-14,0.0013835109049867129,0.4067960718360001,0.3931553727405244,0.017536380958111414,0.007179946023384266,2.681670338348217e-05,0.17392190083359796,Acanthizidae (Thornbills and Allies),8.303599199999999,0.45443926222222225,291.91616991111107,11.340909090909092,82.42222222222222,6.033131555555555,3.0,0.0,0.0,7.7,-2.378372157989278
Acanthiza_uropygialis,1.133523672020509e-06,0.1391397701100848,0.005178261073361189,0.07229719762623119,0.0003189154704175288,0.21513803497177547,0.567711914144786,0.00021477307967208954,Acanthizidae (Thornbills and Allies),5.1699204780114725,0.2736525449330784,293.5831400191205,9.969696969696969,53.927342256214146,3.48920206500956,3.0,0.0,0.0,6.4,-2.6597602164413425
Acanthorhynchus_tenuirostris,0.06747320850486004,0.06905033954189321,0.028453556568414893,0.5276409546336076,0.0007098647276027084,0.07961422501701437,0.21383259318191256,0.013225257824694702,Meliphagidae (Honeyeaters),9.259892333333333,0.5579540723684211,289.87162361842104,12.270833333333334,83.8157894736842,8.223645263157895,3.0,0.0,0.0,10.44,-1.435824833484313
Acridotheres_cristatellus,5.929946502219177e-16,5.760195540446529e-05,0.8333383505899107,0.11395256753212755,5.290531440064397e-07,8.539337617554581e-08,0.052650003000441065,8.62475595241559e-07,Sturnidae (Starlings),16.97489171641791,0.5541709800995024,291.8364864925373,10.323624595469255,85.44029850746269,28.0945063681592,3.0,0.0,0.0,116.31,0.5661794818094793
