Scientific name (BirdTree),Scientific name (Clements),wiki_species_1,wiki_species_2,wiki_species_3,wiki_species_4,wiki_species_5
Conirostrum bicolor,Conirostrum bicolor,Conirostrum bicolor,Sylvia bicolor,Conirostrum bicolor,,
Oreomanes fraseri,Conirostrum binghami,Oreomanes fraseri,Oreomanes fraseri,,,
Conirostrum cinereum,Conirostrum cinereum,Conirostrum cinereum,Conirostrum cinereum,,,
Conirostrum ferrugineiventre,Conirostrum ferrugineiventre,,,,,
Conirostrum leucogenys,Conirostrum leucogenys,,,,,
Conirostrum margaritae,Conirostrum margaritae,Conirostrum margaritae,Conirostrum margaritae,,,
Conirostrum rufum,Conirostrum rufum,,,,,
Conirostrum sitticolor,Conirostrum sitticolor,Conirostrum sitticolor,Conirostrum sitticolor,,,
Conirostrum speciosum,Conirostrum speciosum,Conirostrum speciosum,Sylvia speciosa,Conirostrum speciosum,,
Conirostrum tamarugense,Conirostrum tamarugense,Conirostrum tamarugense,Conirostrum tamarugense,,,
Conopias albovittatus,Conopias albovittatus,Conopias albovittatus,Conopias albovittatus,,,
Conopias cinchoneti,Conopias cinchoneti,Conopias cinchoneti,Conopias cinchoneti,,,
Conopias parvus,Conopias parvus,Conopias parvus,Conopias parvus,,,
Conopias trivirgatus,Conopias trivirgatus,Conopias trivirgatus,Conopias trivirgatus,,,
Conopophaga ardesiaca,Conopophaga ardesiaca,Conopophaga ardesiaca,Conopophaga ardesiaca,,,
Conopophaga aurita,Conopophaga aurita,Conopophaga aurita,Turdus auritus,Conopophaga aurita,,
Conopophaga castaneiceps,Conopophaga castaneiceps,,,,,
Conopophaga cearae,Conopophaga cearae,Conopophaga cearae,Conopophaga cearae,,,
Conopophaga lineata,Conopophaga lineata,Conopophaga lineata,Conopophaga lineata,,,
Conopophaga melanogaster,Conopophaga melanogaster,Conopophaga melanogaster,Conopophaga melanogaster,,,
Conopophaga melanops,Conopophaga melanops,Conopophaga melanops,Conopophaga melanops,,,
Conopophaga peruviana,Conopophaga peruviana,Conopophaga peruviana,Conopophaga peruviana,,,
Conopophaga roberti,Conopophaga roberti,Conopophaga roberti,Conopophaga roberti,,,
Conopophila albogularis,Conopophila albogularis,Conopophila albogularis,Conopophila albogularis,,,
Conopophila rufogularis,Conopophila rufogularis,,,,,
Conopophila whitei,Conopophila whitei,,,,,
Conostoma oemodium,Conostoma aemodium,,,,,
Conothraupis mesoleuca,Conothraupis mesoleuca,Conothraupis mesoleuca,Conothraupis mesoleuca,,,
Conothraupis speculigera,Conothraupis speculigera,Conothraupis speculigera,Schistochlamys speculigera,Conothraupis speculigera,,
Contopus albogularis,Contopus albogularis,,,,,
Contopus caribaeus,Contopus caribaeus,,,,,
Contopus cooperi,Contopus cooperi,Contopus cooperi,Contopus cooperi,,,
Contopus fumigatus,Contopus fumigatus,Contopus fumigatus,Contopus fumigatus,,,
Contopus hispaniolensis,Contopus hispaniolensis,,,,,
Contopus latirostris,Contopus latirostris,,,,,
Contopus lugubris,Contopus lugubris,,,,,
Contopus nigrescens,Contopus nigrescens,,,,,
Contopus ochraceus,Contopus ochraceus,,,,,
Contopus pallidus,Contopus pallidus,,,,,
Contopus pertinax,Contopus pertinax,Contopus pertinax,Contopus pertinax,,,
Contopus sordidulus,Contopus sordidulus,Contopus sordidulus,Contopus sordidulus,,,
Contopus virens,Contopus virens,Contopus virens,Muscicapa virens,Contopus virens,,
Copsychus albospecularis,Copsychus albospecularis,Copsychus albospecularis,Copsychus albospecularis,,,
Copsychus cebuensis,Copsychus cebuensis,Copsychus cebuensis,Kittacincla cebuensis,Copsychus cebuensis,,
Saxicoloides fulicatus,Copsychus fulicatus,Saxicoloides fulicatus,Copsychus fulicatus,Motacilla fulicata,Copsychus fulicatus,
Copsychus niger,Copsychus niger,Copsychus niger,Copsychus niger,,,
Trichixos pyrropygus,Copsychus pyrropygus,Trichixos pyrropygus,,,,
Copsychus sechellarum,Copsychus sechellarum,,,,,
Coracias abyssinicus,Coracias abyssinicus,,,,,
Coracias caudatus,Coracias caudatus,,,,,
Coracias cyanogaster,Coracias cyanogaster,,,,,
Coracias garrulus,Coracias garrulus,,,,,
Coracias naevia,Coracias naevius,,,,,
Coracias spatulatus,Coracias spatulatus,,,,,
Coracias temminckii,Coracias temminckii,,,,,
Coracina atriceps,Coracina atriceps,,,,,
Coracina bicolor,Coracina bicolor,,,,,
Coracina boyeri,Coracina boyeri,,,,,
Coracina caeruleogrisea,Coracina caeruleogrisea,,,,,
Coracina caesia,Coracina caesia,,,,,
Coracina fortis,Coracina fortis,,,,,
Coracina graueri,Coracina graueri,,,,,
Coracina javensis,Coracina javensis,,,,,
Coracina larvata,Coracina larvata,,,,,
Coracina leucopygia,Coracina leucopygia,,,,,
Coracina lineata,Coracina lineata,,,,,
Coracina longicauda,Coracina longicauda,Coracina longicauda,Coracina longicauda,,,
Coracina macei,Coracina macei,Coracina macei,Graucalus macei,Coracina macei,,
Coracina maxima,Coracina maxima,,,,,
Coracina novaehollandiae,Coracina novaehollandiae,Coracina novaehollandiae,Coracina novaehollandiae,,,
Coracina pectoralis,Coracina pectoralis,,,,,
Coracina personata,Coracina personata,,,,,
Coracina schistacea,Coracina schistacea,,,,,
Coracina temminckii,Coracina temminckii,,,,,
Coracopsis vasa,Coracopsis vasa,,,,,
Coracornis raveni,Coracornis raveni,,,,,
Colluricincla sanghirensis,Coracornis sanghirensis,,,,,
Coragyps atratus,Coragyps atratus,,,,,
Corapipo altera,Corapipo altera,,,,,
Corapipo gutturalis,Corapipo gutturalis,Corapipo gutturalis,Corapipo gutturalis,,,
Corapipo leucorrhoa,Corapipo leucorrhoa,,,,,
Corcorax melanorhamphos,Corcorax melanorhamphos,,,,,
Cormobates leucophaea,Cormobates leucophaea,Cormobates leucophaea,Cormobates leucophaea,,,
Cormobates placens,Cormobates placens,Cormobates placens,Cormobates placens,,,
Regulus calendula,Corthylio calendula,Regulus calendula,Regulus calendula,,,
Corvus albicollis,Corvus albicollis,,,,,
Corvus albus,Corvus albus,,,,,
Corvus bennetti,Corvus bennetti,,,,,
Corvus capensis,Corvus capensis,,,,,
Corvus corax,Corvus corax,Corvus corax,Corvus corax,,,
Corvus coronoides,Corvus coronoides,Corvus coronoides,Corvus coronoides,,,
Corvus crassirostris,Corvus crassirostris,,,,,
Corvus cryptoleucus,Corvus cryptoleucus,,,,,
Corvus dauuricus,Corvus dauuricus,,,,,
Corvus edithae,Corvus edithae,,,,,
Corvus florensis,Corvus florensis,,,,,
Corvus frugilegus,Corvus frugilegus,Corvus frugilegus,Corvus frugilegus,,,
Corvus fuscicapillus,Corvus fuscicapillus,,,,,
Corvus hawaiiensis,Corvus hawaiiensis,,,,,
Corvus imparatus,Corvus imparatus,,,,,
Corvus jamaicensis,Corvus jamaicensis,,,,,
Corvus kubaryi,Corvus kubaryi,,,,,
Corvus leucognaphalus,Corvus leucognaphalus,,,,,
Corvus meeki,Corvus meeki,,,,,
Corvus mellori,Corvus mellori,,,,,
Corvus monedula,Corvus monedula,Coloeus monedula,Corvus monedula,Coloeus monedula,,
Corvus moneduloides,Corvus moneduloides,,,,,
Corvus nasicus,Corvus nasicus,,,,,
Corvus ossifragus,Corvus ossifragus,,,,,
Corvus torquatus,Corvus pectoralis,,,,,
Corvus rhipidurus,Corvus rhipidurus,,,,,
Corvus ruficollis,Corvus ruficollis,,,,,
Corvus sinaloae,Corvus sinaloae,,,,,
Corvus splendens,Corvus splendens,Corvus splendens,Corvus splendens,,,
Corvus tasmanicus,Corvus tasmanicus,,,,,
Corvus tristis,Corvus tristis,,,,,
Corvus typicus,Corvus typicus,,,,,
Corvus unicolor,Corvus unicolor,,,,,
Corvus validus,Corvus validus,,,,,
Corvus woodfordi,Corvus woodfordi,,,,,
Corydon sumatranus,Corydon sumatranus,,,,,
Coryphaspiza melanotis,Coryphaspiza melanotis,Coryphaspiza melanotis,Coryphaspiza melanotis,,,
Coryphistera alaudina,Coryphistera alaudina,Coryphistera alaudina,Coryphistera alaudina,,,
Coryphospingus cucullatus,Coryphospingus cucullatus,Coryphospingus cucullatus,Fringilla cucullata,Coryphospingus cucullatus,,
Coryphospingus pileatus,Coryphospingus pileatus,Coryphospingus pileatus,Fringilla pileata,Coryphospingus pileatus,,
Corythaeola cristata,Corythaeola cristata,,,,,
Corythaixoides concolor,Corythaixoides concolor,,,,,
Corythaixoides leucogaster,Corythaixoides leucogaster,,,,,
Corythaixoides personatus,Corythaixoides personatus,,,,,
Corythopis delalandi,Corythopis delalandi,Corythopis delalandi,Corythopis delalandi,,,
Corythopis torquatus,Corythopis torquatus,Corythopis torquatus,Corythopis torquatus,,,
Alcedo cristata,Corythornis cristatus,,,,,
Alcedo leucogaster,Corythornis leucogaster,,,,,
Ceyx madagascariensis,Corythornis madagascariensis,,,,,
Alcedo vintsioides,Corythornis vintsioides,,,,,
Coscoroba coscoroba,Coscoroba coscoroba,,,,,
Cossypha albicapilla,Cossypha albicapillus,Cossypha albicapillus,Cossypha albicapillus,,,
Cossypha anomala,Cossypha anomala,,,,,
Cossypha archeri,Cossypha archeri,,,,,
Cossypha caffra,Cossypha caffra,,,,,
Cossypha cyanocampter,Cossypha cyanocampter,,,,,
Cossypha dichroa,Cossypha dichroa,Cossypha dichroa,Muscicapa dichroa,Cossypha dichroa,,
Cossypha heinrichi,Cossypha heinrichi,,,,,
Cossypha heuglini,Cossypha heuglini,Cossypha heuglini,Cossypha heuglini,,,
Cossypha humeralis,Cossypha humeralis,,,,,
Cossypha isabellae,Cossypha isabellae,,,,,
Cossypha natalensis,Cossypha natalensis,Cossypha natalensis,Cossypha natalensis,,,
Cossypha niveicapilla,Cossypha niveicapilla,Cossypha niveicapilla,Cossypha niveicapilla,,,
Cossypha semirufa,Cossypha semirufa,Cossypha semirufa,Cossypha semirufa,,,
Cossyphicula roberti,Cossyphicula roberti,,,,,
Cotinga amabilis,Cotinga amabilis,,,,,
Cotinga cayana,Cotinga cayana,,,,,
Cotinga cotinga,Cotinga cotinga,,,,,
Cotinga maculata,Cotinga maculata,,,,,
Cotinga maynana,Cotinga maynana,,,,,
Cotinga nattererii,Cotinga nattererii,,,,,
Cotinga ridgwayi,Cotinga ridgwayi,,,,,
Coturnicops exquisitus,Coturnicops exquisitus,,,,,
Coturnicops notatus,Coturnicops notatus,,,,,
Coturnicops noveboracensis,Coturnicops noveboracensis,,,,,
Coturnix coromandelica,Coturnix coromandelica,,,,,
Coturnix coturnix,Coturnix coturnix,,,,,
Coturnix delegorguei,Coturnix delegorguei,,,,,
Coturnix japonica,Coturnix japonica,,,,,
Coturnix pectoralis,Coturnix pectoralis,,,,,
Coua caerulea,Coua caerulea,,,,,
Coua coquereli,Coua coquereli,,,,,
Coua cristata,Coua cristata,,,,,
Coua cursor,Coua cursor,,,,,
Coua gigas,Coua gigas,,,,,
Coua reynaudii,Coua reynaudii,,,,,
Coua ruficeps,Coua ruficeps,,,,,
Coua serriana,Coua serriana,,,,,
Coua verreauxi,Coua verreauxi,,,,,
Cracticus cassicus,Cracticus cassicus,Cracticus cassicus,Cracticus cassicus,,,
Cracticus louisiadensis,Cracticus louisiadensis,,,,,
Cracticus mentalis,Cracticus mentalis,Cracticus mentalis,Cracticus mentalis,,,
Cracticus nigrogularis,Cracticus nigrogularis,Cracticus nigrogularis,Cracticus nigrogularis,,,
Cracticus quoyi,Cracticus quoyi,Melloria quoyi,Barita Quoyi,,,
Cranioleuca albicapilla,Cranioleuca albicapilla,Cranioleuca albicapilla,Cranioleuca albicapilla,,,
Cranioleuca albiceps,Cranioleuca albiceps,Cranioleuca albiceps,Cranioleuca albiceps,,,
Cranioleuca curtata,Cranioleuca curtata,Cranioleuca curtata,Cranioleuca curtata,,,
Cranioleuca demissa,Cranioleuca demissa,Cranioleuca demissa,Cranioleuca demissa,,,
Cranioleuca dissita,Cranioleuca dissita,,,,,
Cranioleuca erythrops,Cranioleuca erythrops,Cranioleuca erythrops,Cranioleuca erythrops,,,
Cranioleuca gutturata,Cranioleuca gutturata,,,,,
Cranioleuca hellmayri,Cranioleuca hellmayri,Cranioleuca hellmayri,Cranioleuca hellmayri,,,
Cranioleuca henricae,Cranioleuca henricae,Cranioleuca henricae,Cranioleuca henricae,,,
Cranioleuca marcapatae,Cranioleuca marcapatae,Cranioleuca marcapatae,Cranioleuca marcapatae,,,
Cranioleuca muelleri,Cranioleuca muelleri,,,,,
Cranioleuca obsoleta,Cranioleuca obsoleta,Cranioleuca obsoleta,Cranioleuca obsoleta,,,
Cranioleuca pallida,Cranioleuca pallida,Cranioleuca pallida,Cranioleuca pallida,,,
Cranioleuca pyrrhophia,Cranioleuca pyrrhophia,Cranioleuca pyrrhophia,Cranioleuca pyrrhophia,,,
Cranioleuca semicinerea,Cranioleuca semicinerea,Cranioleuca semicinerea,Cranioleuca semicinerea,,,
Cranioleuca subcristata,Cranioleuca subcristata,Cranioleuca subcristata,Cranioleuca subcristata,,,
Cranioleuca vulpecula,Cranioleuca vulpecula,,,,,
Cranioleuca vulpina,Cranioleuca vulpina,Cranioleuca vulpina,Synallaxis vulpina,Cranioleuca vulpina,,
Crateroscelis murina,Crateroscelis murina,Crateroscelis murina,,,,
Crateroscelis nigrorufa,Crateroscelis nigrorufa,Crateroscelis nigrorufa,Aethomyias nigrorufus,Sericornis nigrorufa,Aethomyias nigrorufus,
Crateroscelis robusta,Crateroscelis robusta,Crateroscelis robusta,Origma robusta,,,
Crax alberti,Crax alberti,,,,,
Crax alector,Crax alector,,,,,
Crax blumenbachii,Crax blumenbachii,,,,,
Crax daubentoni,Crax daubentoni,,,,,
Crax fasciolata,Crax fasciolata,,,,,
Crax globulosa,Crax globulosa,,,,,
Crax rubra,Crax rubra,,,,,
Creagrus furcatus,Creagrus furcatus,,,,,
Creatophora cinerea,Creatophora cinerea,,,,,
Creurgops dentatus,Creurgops dentatus,,,,,
Creurgops verticalis,Creurgops verticalis,,,,,
Crex crex,Crex crex,,,,,
Crecopsis egregia,Crex egregia,,,,,
Crinifer piscator,Crinifer piscator,,,,,
Crinifer zonurus,Crinifer zonurus,,,,,
Criniger barbatus,Criniger barbatus,Criniger barbatus,Trichophorus barbatus,Criniger barbatus,,
Criniger calurus,Criniger calurus,Criniger calurus,Criniger calurus,,,
Criniger chloronotus,Criniger chloronotus,Criniger chloronotus,Criniger chloronotus,,,
Criniger ndussumensis,Criniger ndussumensis,,,,,
Criniger olivaceus,Criniger olivaceus,,,,,
Serinus albogularis,Crithagra albogularis,Crithagra albogularis,Crithagra albogularis,,,
Serinus ankoberensis,Crithagra ankoberensis,,,,,
Serinus atrogularis,Crithagra atrogularis,Crithagra atrogularis,Linaria atrogularis,Crithagra atrogularis,,
Serinus buchanani,Crithagra buchanani,,,,,
Serinus burtoni,Crithagra burtoni,,,,,
Serinus capistratus,Crithagra capistrata,,,,,
Serinus citrinelloides,Crithagra citrinelloides,,,,,
Serinus citrinipectus,Crithagra citrinipectus,,,,,
Neospiza concolor,Crithagra concolor,,,,,
Serinus donaldsoni,Crithagra donaldsoni,,,,,
Serinus dorsostriatus,Crithagra dorsostriata,,,,,
Serinus flavigula,Crithagra flavigula,,,,,
Serinus flaviventris,Crithagra flaviventris,Crithagra flaviventris,Crithagra flaviventris,,,
Serinus frontalis,Crithagra frontalis,,,,,
Serinus hypostictus,Crithagra hyposticta,Crithagra hyposticta,Crithagra hyposticta,,,
Serinus koliensis,Crithagra koliensis,,,,,
Serinus leucopterus,Crithagra leucoptera,Crithagra leucoptera,Crithagra leucoptera,,,
Serinus leucopygius,Crithagra leucopygia,,,,,
Serinus melanochrous,Crithagra melanochroa,,,,,
Serinus menachensis,Crithagra menachensis,,,,,
Serinus mennelli,Crithagra mennelli,,,,,
Serinus mozambicus,Crithagra mozambica,Crithagra mozambica,Fringilla mozambica,Crithagra mozambica,,
Serinus reichardi,Crithagra reichardi,,,,,
Serinus rothschildi,Crithagra rothschildi,,,,,
Serinus rufobrunneus,Crithagra rufobrunnea,,,,,
Serinus scotops,Crithagra scotops,Crithagra scotops,Crithagra scotops,,,
Serinus striolatus,Crithagra striolata,Crithagra striolata,Crithagra striolata,,,
Serinus sulphuratus,Crithagra sulphurata,Crithagra sulphurata,Loxia sulphurata,Crithagra sulphurata,,
Serinus symonsi,Crithagra symonsi,Crithagra symonsi,Crithagra symonsi,,,
Serinus totta,Crithagra totta,,,,,
Serinus tristriatus,Crithagra tristriata,,,,,
Serinus whytii,Crithagra whytii,,,,,
Serinus xantholaemus,Crithagra xantholaema,,,,,
Crossleyia xanthophrys,Crossleyia xanthophrys,Crossleyia xanthophrys,Crossleyia xanthophrys,,,
Crossoptilon auritum,Crossoptilon auritum,,,,,
Crossoptilon crossoptilon,Crossoptilon crossoptilon,,,,,
Crossoptilon harmani,Crossoptilon harmani,,,,,
Crossoptilon mantchuricum,Crossoptilon mantchuricum,,,,,
Crotophaga ani,Crotophaga ani,,,,,
Crotophaga major,Crotophaga major,,,,,
Crotophaga sulcirostris,Crotophaga sulcirostris,,,,,
Crypsirina cucullata,Crypsirina cucullata,,,,,
Crypsirina temia,Crypsirina temia,,,,,
Bradypterus victorini,Cryptillas victorini,Cryptillas victorini,Bradypterus victorini,Cryptillas victorini,,
Leucopternis plumbeus,Cryptoleucopteryx plumbea,,,,,
Hylopezus nattereri,Cryptopezus nattereri,Hylopezus nattereri,Hylopezus nattereri,,,
Cryptophaps poecilorrhoa,Cryptophaps poecilorrhoa,,,,,
Xenopipo holochlora,Cryptopipo holochlora,,,,,
Cryptospiza jacksoni,Cryptospiza jacksoni,,,,,
Cryptospiza reichenovii,Cryptospiza reichenovii,,,,,
Cryptospiza salvadorii,Cryptospiza salvadorii,,,,,
Cryptospiza shelleyi,Cryptospiza shelleyi,,,,,
Cryptosylvicola randrianasoloi,Cryptosylvicola randrianasoloi,Cryptosylvicola randrianasoloi,Cryptosylvicola randrianasoloi,,,
Crypturellus atrocapillus,Crypturellus atrocapillus,,,,,
Crypturellus bartletti,Crypturellus bartletti,,,,,
Crypturellus berlepschi,Crypturellus berlepschi,,,,,
Crypturellus boucardi,Crypturellus boucardi,,,,,
Crypturellus brevirostris,Crypturellus brevirostris,,,,,
Crypturellus casiquiare,Crypturellus casiquiare,,,,,
Crypturellus cinereus,Crypturellus cinereus,,,,,
Crypturellus cinnamomeus,Crypturellus cinnamomeus,,,,,
Crypturellus duidae,Crypturellus duidae,,,,,
Crypturellus erythropus,Crypturellus erythropus,,,,,
Crypturellus kerriae,Crypturellus kerriae,,,,,
Crypturellus noctivagus,Crypturellus noctivagus,,,,,
Crypturellus obsoletus,Crypturellus obsoletus,,,,,
Crypturellus parvirostris,Crypturellus parvirostris,,,,,
Crypturellus ptaritepui,Crypturellus ptaritepui,,,,,
Crypturellus soui,Crypturellus soui,,,,,
Crypturellus strigulosus,Crypturellus strigulosus,,,,,
Crypturellus tataupa,Crypturellus tataupa,,,,,
Crypturellus transfasciatus,Crypturellus transfasciatus,,,,,
Crypturellus undulatus,Crypturellus undulatus,,,,,
Crypturellus variegatus,Crypturellus variegatus,,,,,
Cuculus canorus,Cuculus canorus,,,,,
Cuculus clamosus,Cuculus clamosus,,,,,
Cuculus crassirostris,Cuculus crassirostris,,,,,
Cuculus gularis,Cuculus gularis,,,,,
Cuculus lepidus,Cuculus lepidus,,,,,
Cuculus micropterus,Cuculus micropterus,,,,,
Cuculus poliocephalus,Cuculus poliocephalus,,,,,
Cuculus rochii,Cuculus rochii,,,,,
Culicicapa ceylonensis,Culicicapa ceylonensis,Culicicapa ceylonensis,Culicicapa ceylonensis,,,
Culicicapa helianthea,Culicicapa helianthea,Culicicapa helianthea,Culicicapa helianthea,,,
Culicivora caudacuta,Culicivora caudacuta,Culicivora caudacuta,Culicivora caudacuta,,,
Curaeus curaeus,Curaeus curaeus,Curaeus curaeus,Curaeus curaeus,,,
Sylvia boehmi,Curruca boehmi,Curruca boehmi,Sylvia boehmi,Curruca boehmi,,
Sylvia buryi,Curruca buryi,Curruca buryi,Sylvia buryi,Curruca buryi,,
Sylvia communis,Curruca communis,Curruca communis,Sylvia communis,Sylvia communis,,
Sylvia conspicillata,Curruca conspicillata,Curruca conspicillata,Sylvia conspicillata,Curruca conspicillata,,
Sylvia deserticola,Curruca deserticola,Curruca deserticola,Sylvia deserticola,Curruca deserticola,,
Sylvia layardi,Curruca layardi,Curruca layardi,Sylvia layardi,Parisoma layardi,Curruca layardi,
Sylvia leucomelaena,Curruca leucomelaena,Curruca leucomelaena,Sylvia leucomelaena,Curruca leucomelaena,,
Sylvia lugens,Curruca lugens,,,,,
Sylvia melanocephala,Curruca melanocephala,Curruca melanocephala,Sylvia melanocephala,Curruca melanocephala,,
Sylvia melanothorax,Curruca melanothorax,Curruca melanothorax,Sylvia melanothorax,Curruca melanothorax,,
Sylvia mystacea,Curruca mystacea,Curruca mystacea,Sylvia mystacea,Sylvia mystacea,,
Sylvia nisoria,Curruca nisoria,Curruca nisoria,Sylvia nisoria,Motacilla nisoria,Curruca nisoria,
Sylvia rueppelli,Curruca ruppeli,Curruca ruppeli,Sylvia ruppeli,Curruca ruppeli,,
Sylvia subcaerulea,Curruca subcoerulea,Curruca subcoerulea,Sylvia subcoerulea,Curruca subcoerulea,,
Sylvia undata,Curruca undata,Curruca undata,Sylvia undata,Sylvia undata,,
Cursorius coromandelicus,Cursorius coromandelicus,,,,,
Cursorius cursor,Cursorius cursor,,,,,
Cursorius rufus,Cursorius rufus,,,,,
Cursorius somalensis,Cursorius somalensis,,,,,
Cursorius temminckii,Cursorius temminckii,,,,,
Cutia legalleni,Cutia legalleni,,,,,
Cutia nipalensis,Cutia nipalensis,Cutia nipalensis,Cutia nipalensis,,,
Cyanerpes caeruleus,Cyanerpes caeruleus,,,,,
Cyanerpes cyaneus,Cyanerpes cyaneus,,,,,
Cyanerpes lucidus,Cyanerpes lucidus,,,,,
Cyanerpes nitidus,Cyanerpes nitidus,,,,,
Cyanicterus cyanicterus,Cyanicterus cyanicterus,Cyanicterus cyanicterus,Cyanicterus cyanicterus,,,
Parus caeruleus,Cyanistes caeruleus,Cyanistes caeruleus,Parus caeruleus,Cyanistes caeruleus,,
Parus cyanus,Cyanistes cyanus,Cyanistes cyanus,Parus cyanus,Cyanistes cyanus,,
Parus teneriffae,Cyanistes teneriffae,Cyanistes teneriffae,Parus teneriffae,Cyanistes teneriffae,,
Cyanochen cyanoptera,Cyanochen cyanoptera,,,,,
Cyanocitta cristata,Cyanocitta cristata,Cyanocitta cristata,Corvus cristatus,Cyanocitta cristata,,
Cyanocitta stelleri,Cyanocitta stelleri,Cyanocitta stelleri,Corvus stelleri,Cyanocitta stelleri,,
Cyanocompsa parellina,Cyanocompsa parellina,Cyanocompsa parellina,Cyanocompsa parellina,,,
Cyanocorax affinis,Cyanocorax affinis,Cyanocorax affinis,Cyanocorax affinis,,,
Cyanocorax beecheii,Cyanocorax beecheii,,,,,
Cyanocorax caeruleus,Cyanocorax caeruleus,Cyanocorax caeruleus,Cyanocorax caeruleus,,,
Cyanocorax cayanus,Cyanocorax cayanus,,,,,
Cyanocorax chrysops,Cyanocorax chrysops,,,,,
Cyanocorax cristatellus,Cyanocorax cristatellus,Cyanocorax cristatellus,Cyanocorax cristatellus,,,
Cyanocorax cyanomelas,Cyanocorax cyanomelas,Cyanocorax cyanomelas,Cyanocorax cyanomelas,,,
Cyanocorax cyanopogon,Cyanocorax cyanopogon,Cyanocorax cyanopogon,Cyanocorax cyanopogon,,,
Cyanocorax dickeyi,Cyanocorax dickeyi,,,,,
Cyanocorax heilprini,Cyanocorax heilprini,,,,,
Cyanocorax melanocyaneus,Cyanocorax melanocyaneus,,,,,
Cyanocorax mystacalis,Cyanocorax mystacalis,,,,,
Cyanocorax sanblasianus,Cyanocorax sanblasianus,,,,,
Cyanocorax violaceus,Cyanocorax violaceus,Cyanocorax violaceus,Cyanocorax violaceus,,,
Cyanocorax yucatanicus,Cyanocorax yucatanicus,,,,,
Stachyris ambigua,Cyanoderma ambiguum,,,,,
Stachyris chrysaea,Cyanoderma chrysaeum,Stachyridopsis chrysaea,Stachyris chrysaea,Stachyridopsis chrysaea,,
Stachyris erythroptera,Cyanoderma erythropterum,Stachyris erythroptera,Timalia erythroptera,Stachyris erythroptera,Cyanoderma bicolor,
Stachyris melanothorax,Cyanoderma melanothorax,,,,,
Stachyris pyrrhops,Cyanoderma pyrrhops,,,,,
Stachyris ruficeps,Cyanoderma ruficeps,Stachyridopsis ruficeps,Cyanoderma ruficeps,Stachyris ruficeps,Cyanoderma ruficeps,
Stachyris rufifrons,Cyanoderma rufifrons,Cyanoderma rufifrons,Stachyridopsis rufifrons,Stachyris rufifrons,Stachyridopsis rufifrons,
Coracina azurea,Cyanograucalus azureus,,,,,
Cyanolanius madagascarinus,Cyanolanius madagascarinus,,,,,
Cyanolimnas cerverai,Cyanolimnas cerverai,,,,,
Cyanoliseus patagonus,Cyanoliseus patagonus,,,,,
Cyanocompsa brissonii,Cyanoloxia brissonii,Cyanocompsa brissonii,Fringilla brissonii,Cyanocompsa brissonii,,
Cyanoloxia glaucocaerulea,Cyanoloxia glaucocaerulea,Cyanoloxia glaucocaerulea,Pyrrhula glaucocaerulea,Cyanoloxia glaucocaerulea,,
Cyanolyca argentigula,Cyanolyca argentigula,,,,,
Cyanolyca armillata,Cyanolyca armillata,,,,,
Cyanolyca cucullata,Cyanolyca cucullata,,,,,
Cyanolyca mirabilis,Cyanolyca mirabilis,,,,,
Cyanolyca nana,Cyanolyca nanus,,,,,
Cyanolyca pulchra,Cyanolyca pulchra,Cyanolyca pulchra,Cyanocitta pulchra,Cyanolyca pulchra,,
Cyanolyca pumilo,Cyanolyca pumilo,,,,,
Cyanolyca turcosa,Cyanolyca turcosa,Cyanolyca turcosa,Cyanolyca turcosa,,,
Cyanolyca viridicyanus,Cyanolyca viridicyanus,,,,,
Nectarinia alinae,Cyanomitra alinae,,,,,
Nectarinia bannermani,Cyanomitra bannermani,,,,,
Nectarinia cyanolaema,Cyanomitra cyanolaema,,,,,
Nectarinia olivacea,Cyanomitra olivacea,Cyanomitra olivacea,Cyanomitra olivacea,,,
Nectarinia oritis,Cyanomitra oritis,,,,,
Nectarinia veroxii,Cyanomitra veroxii,Cyanomitra veroxii,Cyanomitra veroxii,,,
Nectarinia verticalis,Cyanomitra verticalis,,,,,
Cyanopsitta spixii,Cyanopsitta spixii,,,,,
Cyanoramphus auriceps,Cyanoramphus auriceps,,,,,
Cyanoramphus cookii,Cyanoramphus cookii,,,,,
Cyanoramphus forbesi,Cyanoramphus forbesi,,,,,
Cyanoramphus malherbi,Cyanoramphus malherbi,,,,,
Cyanoramphus saisseti,Cyanoramphus saisseti,,,,,
Cyanoramphus unicolor,Cyanoramphus unicolor,,,,,
Cyclarhis gujanensis,Cyclarhis gujanensis,Cyclarhis gujanensis,Cyclarhis gujanensis,,,
Cyclarhis nigrirostris,Cyclarhis nigrirostris,Cyclarhis nigrirostris,Cyclarhis nigrirostris,,,
Cyclopsitta diophthalma,Cyclopsitta diophthalma,,,,,
Cyclopsitta gulielmitertii,Cyclopsitta gulielmitertii,,,,,
Cygnus atratus,Cygnus atratus,,,,,
Cygnus buccinator,Cygnus buccinator,,,,,
Cygnus columbianus,Cygnus columbianus,,,,,
Cygnus cygnus,Cygnus cygnus,,,,,
Cygnus melancoryphus,Cygnus melancoryphus,,,,,
Cygnus olor,Cygnus olor,,,,,
Cymbilaimus lineatus,Cymbilaimus lineatus,Cymbilaimus lineatus,Cymbilaimus lineatus,,,
Cymbilaimus sanctaemariae,Cymbilaimus sanctaemariae,Cymbilaimus sanctaemariae,Cymbilaimus sanctaemariae,,,
