Scientific name (BirdTree),Scientific name (Clements),wiki_species_1,wiki_species_2,wiki_species_3,wiki_species_4,wiki_species_5
Acrocephalus rehsei,Acrocephalus rehsei,,,,,
Acrocephalus rimatarae,Acrocephalus rimitarae,,,,,
Acrocephalus rodericanus,Acrocephalus rodericanus,,,,,
Acrocephalus rufescens,Acrocephalus rufescens,,,,,
Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,,,
Acrocephalus scirpaceus,Acrocephalus scirpaceus,Acrocephalus scirpaceus,Acrocephalus scirpaceus,,,
Acrocephalus sechellensis,Acrocephalus sechellensis,,,,,
Acrocephalus sorghophilus,Acrocephalus sorghophilus,,,,,
Acrocephalus stentoreus,Acrocephalus stentoreus,Acrocephalus stentoreus,Acrocephalus stentoreus,,,
Acrocephalus syrinx,Acrocephalus syrinx,,,,,
Acrocephalus taiti,Acrocephalus taiti,,,,,
Acrocephalus tangorum,Acrocephalus tangorum,,,,,
Acrocephalus vaughani,Acrocephalus vaughani,,,,,
Acropternis orthonyx,Acropternis orthonyx,Acropternis orthonyx,Acropternis orthonyx,,,
Acryllium vulturinum,Acryllium vulturinum,,,,,
Actenoides bougainvillei,Actenoides bougainvillei,,,,,
Actenoides concretus,Actenoides concretus,,,,,
Actenoides hombroni,Actenoides hombroni,,,,,
Actenoides lindsayi,Actenoides lindsayi,,,,,
Actenoides monachus,Actenoides monachus,,,,,
Actenoides princeps,Actenoides princeps,,,,,
Minla cyanouroptera,Actinodura cyanouroptera,Minla cyanouroptera,Siva cyanouroptera,Actinodura cyanouroptera,Actinodura cyanouroptera,
Actinodura egertoni,Actinodura egertoni,,,,,
Actinodura morrisoniana,Actinodura morrisoniana,,,,,
Actinodura nipalensis,Actinodura nipalensis,Actinodura nipalensis,Sibia nipalensis,Cinclosoma nipalense,Actinodura nipalensis,
Actinodura ramsayi,Actinodura ramsayi,,,,,
Actinodura sodangorum,Actinodura sodangorum,,,,,
Actinodura souliei,Actinodura souliei,,,,,
Minla strigula,Actinodura strigula,Minla strigula,Actinodura strigula,Chrysominla strigula,Actinodura strigula,
Actinodura waldeni,Actinodura waldeni,Actinodura waldeni,Actinodura waldeni,,,
Actitis hypoleucos,Actitis hypoleucos,,,,,
Actitis macularius,Actitis macularius,,,,,
Actophilornis africanus,Actophilornis africanus,,,,,
Actophilornis albinucha,Actophilornis albinucha,,,,,
Adelomyia melanogenys,Adelomyia melanogenys,,,,,
Aechmophorus clarkii,Aechmophorus clarkii,,,,,
Aechmophorus occidentalis,Aechmophorus occidentalis,,,,,
Aegithalos concinnus,Aegithalos concinnus,,,,,
Aegithalos fuliginosus,Aegithalos fuliginosus,,,,,
Aegithalos iouschistos,Aegithalos iouschistos,,,,,
Aegithalos leucogenys,Aegithalos leucogenys,,,,,
Aegithalos niveogularis,Aegithalos niveogularis,,,,,
Aegithina lafresnayei,Aegithina lafresnayei,,,,,
Aegithina nigrolutea,Aegithina nigrolutea,,,,,
Aegithina tiphia,Aegithina tiphia,Aegithina tiphia,Aegithina tiphia,,,
Aegithina viridissima,Aegithina viridissima,Aegithina viridissima,Aegithina viridissima,,,
Aegolius acadicus,Aegolius acadicus,,,,,
Aegolius funereus,Aegolius funereus,,,,,
Aegolius harrisii,Aegolius harrisii,,,,,
Aegolius ridgwayi,Aegolius ridgwayi,,,,,
Aegotheles albertisi,Aegotheles albertisi,,,,,
Aegotheles crinifrons,Aegotheles crinifrons,,,,,
Aegotheles cristatus,Aegotheles cristatus,,,,,
Aegotheles insignis,Aegotheles insignis,,,,,
Aegotheles savesi,Aegotheles savesi,,,,,
Aegotheles tatei,Aegotheles tatei,,,,,
Aegotheles wallacii,Aegotheles wallacii,,,,,
Aegypius monachus,Aegypius monachus,,,,,
Aepypodius arfakianus,Aepypodius arfakianus,,,,,
Aepypodius bruijnii,Aepypodius bruijnii,,,,,
Collocalia amelis,Aerodramus amelis,,,,,
Collocalia bartschi,Aerodramus bartschi,,,,,
Collocalia elaphra,Aerodramus elaphrus,,,,,
Collocalia francica,Aerodramus francicus,,,,,
Collocalia fuciphaga,Aerodramus fuciphagus,,,,,
Collocalia germani,Aerodramus germani,,,,,
Collocalia hirundinacea,Aerodramus hirundinaceus,,,,,
Collocalia inquieta,Aerodramus inquietus,,,,,
Collocalia leucophaea,Aerodramus leucophaeus,,,,,
Collocalia maxima,Aerodramus maximus,,,,,
Collocalia mearnsi,Aerodramus mearnsi,,,,,
Collocalia nuditarsus,Aerodramus nuditarsus,,,,,
Collocalia ocista,Aerodramus ocistus,,,,,
Collocalia orientalis,Aerodramus orientalis,,,,,
Collocalia papuensis,Aerodramus papuensis,,,,,
Collocalia pelewensis,Aerodramus pelewensis,,,,,
Collocalia salangana,Aerodramus salangana,,,,,
Collocalia sawtelli,Aerodramus sawtelli,,,,,
Collocalia spodiopygia,Aerodramus spodiopygius,,,,,
Collocalia terraereginae,Aerodramus terraereginae,,,,,
Collocalia unicolor,Aerodramus unicolor,,,,,
Collocalia vulcanorum,Aerodramus vulcanorum,,,,,
Collocalia whiteheadi,Aerodramus whiteheadi,,,,,
Aeronautes andecolus,Aeronautes andecolus,,,,,
Aeronautes montivagus,Aeronautes montivagus,,,,,
Aeronautes saxatalis,Aeronautes saxatalis,,,,,
Aethia cristatella,Aethia cristatella,,,,,
Aethia psittacula,Aethia psittacula,,,,,
Aethia pusilla,Aethia pusilla,,,,,
Aethia pygmaea,Aethia pygmaea,,,,,
Aethopyga bella,Aethopyga bella,,,,,
Aethopyga christinae,Aethopyga christinae,,,,,
Aethopyga duyvenbodei,Aethopyga duyvenbodei,,,,,
Aethopyga eximia,Aethopyga eximia,,,,,
Aethopyga gouldiae,Aethopyga gouldiae,Aethopyga gouldiae,Aethopyga gouldiae,,,
Aethopyga ignicauda,Aethopyga ignicauda,Aethopyga ignicauda,Aethopyga ignicauda,,,
Aethopyga linaraborae,Aethopyga linaraborae,,,,,
Aethopyga nipalensis,Aethopyga nipalensis,,,,,
Aethopyga primigenia,Aethopyga primigenia,,,,,
Aethopyga saturata,Aethopyga saturata,Aethopyga saturata,Aethopyga saturata,,,
Aethopyga shelleyi,Aethopyga shelleyi,Aethopyga shelleyi,Aethopyga shelleyi,,,
Afropavo congensis,Afropavo congensis,,,,,
Agamia agami,Agamia agami,,,,,
Agapornis canus,Agapornis canus,,,,,
Agapornis fischeri,Agapornis fischeri,,,,,
Agapornis lilianae,Agapornis lilianae,,,,,
Agapornis nigrigenis,Agapornis nigrigenis,,,,,
Agapornis personatus,Agapornis personatus,,,,,
Agapornis pullarius,Agapornis pullarius,,,,,
Agapornis roseicollis,Agapornis roseicollis,,,,,
Agapornis swindernianus,Agapornis swindernianus,,,,,
Agapornis taranta,Agapornis taranta,,,,,
Agelaius assimilis,Agelaius assimilis,,,,,
Agelaius humeralis,Agelaius humeralis,,,,,
Agelaius phoeniceus,Agelaius phoeniceus,Agelaius phoeniceus,Agelaius phoeniceus,,,
Agelaius tricolor,Agelaius tricolor,,,,,
Agelaius xanthomus,Agelaius xanthomus,,,,,
Agelastes meleagrides,Agelastes meleagrides,,,,,
Agelastes niger,Agelastes niger,,,,,
Agelasticus cyanopus,Agelasticus cyanopus,Agelasticus cyanopus,Agelaius cyanopus,Agelasticus cyanopus,,
Agelasticus thilius,Agelasticus thilius,Agelasticus thilius,Agelasticus thilius,,,
Agelasticus xanthophthalmus,Agelasticus xanthophthalmus,Agelasticus xanthophthalmus,Agelaius xanthophthalmus,Agelasticus xanthophthalmus,,
Aglaeactis aliciae,Aglaeactis aliciae,,,,,
Aglaeactis castelnaudii,Aglaeactis castelnaudii,,,,,
Aglaeactis cupripennis,Aglaeactis cupripennis,,,,,
Aglaeactis pamela,Aglaeactis pamela,,,,,
Aglaiocercus berlepschi,Aglaiocercus berlepschi,,,,,
Aglaiocercus coelestis,Aglaiocercus coelestis,,,,,
Aglaiocercus kingi,Aglaiocercus kingii,,,,,
Carpodacus rubescens,Agraphospiza rubescens,,,,,
Bradornis infuscatus,Agricola infuscatus,,,,,
Bradornis pallidus,Agricola pallidus,,,,,
Agriornis albicauda,Agriornis albicauda,,,,,
Agriornis lividus,Agriornis lividus,,,,,
Agriornis micropterus,Agriornis micropterus,,,,,
Agriornis montanus,Agriornis montanus,Agriornis montanus,Agriornis montanus,,,
Agriornis murinus,Agriornis murinus,,,,,
Sturnus philippensis,Agropsar philippensis,,,,,
Sturnus sturninus,Agropsar sturninus,,,,,
Neochmia modesta,Aidemosyne modesta,,,,,
Ailuroedus crassirostris,Ailuroedus crassirostris,Ailuroedus crassirostris,Ailuroedus crassirostris,,,
Aimophila notosticta,Aimophila notosticta,Aimophila notosticta,Aimophila notosticta,,,
Aimophila rufescens,Aimophila rufescens,Aimophila rufescens,Aimophila rufescens,,,
Aimophila ruficeps,Aimophila ruficeps,Aimophila ruficeps,Aimophila ruficeps,,,
Aix galericulata,Aix galericulata,,,,,
Aix sponsa,Aix sponsa,,,,,
Myrmeciza goeldii,Akletos goeldii,,,,,
Myrmeciza melanoceps,Akletos melanoceps,,,,,
Alaemon alaudipes,Alaemon alaudipes,Alaemon alaudipes,Upupa alaudipes,Alaemon alaudipes,,
Alaemon hamertoni,Alaemon hamertoni,,,,,
Alauda gulgula,Alauda gulgula,Alauda gulgula,Alauda gulgula,,,
Melanocorypha leucoptera,Alauda leucoptera,,,,,
Alauda razae,Alauda razae,,,,,
Calandrella cheleensis,Alaudala cheleensis,Alaudala cheleensis,Alaudala cheleensis,,,
Calandrella raytal,Alaudala raytal,,,,,
Calandrella somalica,Alaudala somalica,,,,,
Alca torda,Alca torda,,,,,
Alcedo atthis,Alcedo atthis,,,,,
Alcedo coerulescens,Alcedo coerulescens,,,,,
Alcedo euryzona,Alcedo euryzona,,,,,
Alcedo hercules,Alcedo hercules,,,,,
Alcedo meninting,Alcedo meninting,,,,,
Alcedo quadribrachys,Alcedo quadribrachys,,,,,
Alcedo semitorquata,Alcedo semitorquata,,,,,
Alcippe brunneicauda,Alcippe brunneicauda,Alcippe brunneicauda,Alcippe brunneicauda,,,
Alcippe grotei,Alcippe grotei,,,,,
Alcippe nipalensis,Alcippe nipalensis,,,,,
Alcippe peracensis,Alcippe peracensis,Alcippe peracensis,Alcippe peracensis,,,
Alcippe poioicephala,Alcippe poioicephala,Alcippe poioicephala,Alcippe poioicephala,,,
Alcippe pyrrhoptera,Alcippe pyrrhoptera,Alcippe pyrrhoptera,Alcippe pyrrhoptera,,,
Aleadryas rufinucha,Aleadryas rufinucha,,,,,
Alectoris barbara,Alectoris barbara,,,,,
Alectoris chukar,Alectoris chukar,,,,,
Alectoris graeca,Alectoris graeca,,,,,
Alectoris magna,Alectoris magna,,,,,
Alectoris melanocephala,Alectoris melanocephala,,,,,
Alectoris philbyi,Alectoris philbyi,,,,,
Alectoris rufa,Alectoris rufa,,,,,
Alectroenas madagascariensis,Alectroenas madagascariensis,,,,,
Alectroenas pulcherrima,Alectroenas pulcherrimus,,,,,
Alectroenas sganzini,Alectroenas sganzini,,,,,
Alectrurus risora,Alectrurus risora,,,,,
Alectrurus tricolor,Alectrurus tricolor,,,,,
Alectura lathami,Alectura lathami,,,,,
Alipiopsitta xanthops,Alipiopsitta xanthops,,,,,
Alisterus amboinensis,Alisterus amboinensis,,,,,
Alisterus chloropterus,Alisterus chloropterus,,,,,
Alisterus scapularis,Alisterus scapularis,,,,,
Alle alle,Alle alle,,,,,
Margarops fuscus,Allenia fusca,,,,,
Gallicolumba beccarii,Alopecoenas beccarii,,,,,
Gallicolumba canifrons,Alopecoenas canifrons,,,,,
Gallicolumba erythroptera,Alopecoenas erythropterus,,,,,
Gallicolumba hoedtii,Alopecoenas hoedtii,,,,,
Gallicolumba jobiensis,Alopecoenas jobiensis,,,,,
Gallicolumba kubaryi,Alopecoenas kubaryi,,,,,
Gallicolumba rubescens,Alopecoenas rubescens,,,,,
Gallicolumba sanctaecrucis,Alopecoenas sanctaecrucis,,,,,
Gallicolumba stairi,Alopecoenas stairi,,,,,
Gallicolumba xanthonura,Alopecoenas xanthonurus,,,,,
Alophoixus finschii,Alophoixus finschii,,,,,
Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,,,
Alophoixus pallidus,Alophoixus pallidus,,,,,
Alophoixus phaeocephalus,Alophoixus phaeocephalus,Alophoixus phaeocephalus,Alophoixus phaeocephalus,,,
Alopochelidon fucata,Alopochelidon fucata,Alopochelidon fucata,Hirundo fucata,Alopochelidon fucata,,
Alopochen aegyptiaca,Alopochen aegyptiaca,,,,,
Amadina erythrocephala,Amadina erythrocephala,,,,,
Amadina fasciata,Amadina fasciata,,,,,
Amalocichla incerta,Amalocichla incerta,Amalocichla incerta,Amalocichla incerta,,,
Amalocichla sclateriana,Amalocichla sclateriana,Amalocichla sclateriana,Amalocichla sclateriana,,,
Amandava amandava,Amandava amandava,,,,,
Amandava formosa,Amandava formosa,,,,,
Amandava subflava,Amandava subflava,,,,,
Amaurolimnas concolor,Amaurolimnas concolor,,,,,
Amaurornis isabellina,Amaurornis isabellina,,,,,
Amaurornis magnirostris,Amaurornis magnirostris,,,,,
Aenigmatolimnas marginalis,Amaurornis marginalis,,,,,
Amaurornis moluccana,Amaurornis moluccana,,,,,
Amaurornis olivacea,Amaurornis olivacea,,,,,
Amaurornis phoenicurus,Amaurornis phoenicurus,,,,,
Amaurospiza carrizalensis,Amaurospiza carrizalensis,,,,,
