grid_id,mpd
lonn180p000000_lat51p000000,150.24153765042126
lonn180p000000_lat65p000000,148.35220588147894
lonn180p000000_lat66p000000,149.37847047689905
lonn180p000000_lat67p000000,149.62528439907487
lonn180p000000_lat68p000000,149.3595157266889
lonn179p000000_lat51p000000,148.6530230876543
lonn179p000000_lat65p000000,150.2303379164304
lonn179p000000_lat66p000000,148.33359198199838
lonn179p000000_lat67p000000,149.707149557772
lonn179p000000_lat68p000000,148.84043829379178
lonn178p000000_latn30p000000,123.0013921174276
lonn178p000000_lat51p000000,149.42393153241798
lonn178p000000_lat65p000000,148.76234334543085
lonn178p000000_lat66p000000,149.13881389647193
lonn178p000000_lat67p000000,149.61853411181735
lonn178p000000_lat68p000000,149.50899693288648
lonn177p000000_latn45p000000,127.88858480911122
lonn177p000000_latn44p000000,126.70424765424657
lonn177p000000_lat51p000000,148.19784981880673
lonn177p000000_lat52p000000,148.19784981880673
lonn177p000000_lat65p000000,146.884981595863
lonn177p000000_lat66p000000,149.08779854877938
lonn177p000000_lat67p000000,147.86301293477658
lonn177p000000_lat68p000000,148.03738244208088
lonn176p000000_lat51p000000,149.4676769025252
lonn176p000000_lat52p000000,148.67223384061938
lonn176p000000_lat64p000000,145.8174642992356
lonn176p000000_lat65p000000,145.989236688861
lonn176p000000_lat66p000000,149.1554850454259
lonn176p000000_lat67p000000,147.5425804977714
lonn175p000000_lat52p000000,150.90491579074708
lonn175p000000_lat64p000000,147.3586988430565
lonn175p000000_lat65p000000,147.86982370375574
lonn175p000000_lat66p000000,147.20208061988782
lonn175p000000_lat67p000000,146.20100826484557
lonn174p000000_lat52p000000,150.90491579074708
lonn174p000000_lat64p000000,143.96154502486652
lonn174p000000_lat65p000000,148.1855738487086
lonn174p000000_lat66p000000,146.4234569746782
lonn174p000000_lat67p000000,146.20100826484557
lonn173p000000_lat52p000000,150.90491579074708
lonn173p000000_lat64p000000,142.8547323938833
lonn173p000000_lat65p000000,146.85506735399704
lonn173p000000_lat66p000000,147.54690687639473
lonn173p000000_lat67p000000,146.83302866200384
lonn172p000000_lat52p000000,150.7600349748509
lonn172p000000_lat65p000000,147.26898732447884
lonn172p000000_lat66p000000,147.54690687639473
lonn171p000000_lat52p000000,150.37775180248335
lonn171p000000_lat65p000000,147.26169795141686
lonn171p000000_lat66p000000,146.80169338075632
lonn170p000000_lat52p000000,150.7578337721362
lonn170p000000_lat53p000000,151.80408154483246
lonn170p000000_lat65p000000,143.58250573581535
lonn170p000000_lat66p000000,145.55170298902203
lonn169p000000_lat52p000000,151.36389720773204
lonn169p000000_lat53p000000,150.7445172684125
lonn169p000000_lat64p000000,153.72044403109072
lonn169p000000_lat65p000000,148.80611279764247
lonn168p000000_lat53p000000,149.4627049672959
lonn168p000000_lat65p000000,149.77022005665174
lonn167p000000_lat53p000000,149.4952134346203
lonn167p000000_lat54p000000,148.18844015945464
lonn167p000000_lat61p000000,151.30029062368845
lonn167p000000_lat62p000000,152.7112345958441
lonn167p000000_lat64p000000,151.1674577500642
lonn167p000000_lat65p000000,150.23910970547234
lonn167p000000_lat66p000000,150.77878321990679
lonn167p000000_lat68p000000,148.0435615408402
lonn166p000000_lat54p000000,149.18864693616004
lonn166p000000_lat60p000000,148.66174655706314
lonn166p000000_lat61p000000,151.54928401381667
lonn166p000000_lat62p000000,151.651090849527
lonn166p000000_lat64p000000,150.58184555792184
lonn166p000000_lat65p000000,150.18987225472242
lonn166p000000_lat66p000000,150.69510358135935
lonn166p000000_lat67p000000,148.90150626539852
lonn166p000000_lat68p000000,147.78246105387518
lonn165p000000_lat54p000000,149.98211987824683
lonn165p000000_lat59p000000,149.72025510988192
lonn165p000000_lat60p000000,149.84397934611678
lonn165p000000_lat61p000000,151.58073476960638
lonn165p000000_lat62p000000,152.11745546280662
lonn165p000000_lat63p000000,151.78072062555984
lonn165p000000_lat64p000000,149.94625257211334
