grid_id,observed_fdis,null_mean_fdis,null_sd_fdis,n_valid_perms,ses_fdis,p_value_fdis_higher
lonn180p000000_lat51p000000,0.09987252362778776,0.10744305969035182,0.010059682208935364,99,-0.7525621491143777,0.76
lonn180p000000_lat65p000000,0.09651311055553942,0.11855993089077901,0.009024544095020817,99,-2.442984388253326,0.99
lonn180p000000_lat66p000000,0.09781823406247928,0.11562312139540808,0.010473409233942042,99,-1.7000087493217617,0.96
lonn180p000000_lat67p000000,0.09781823406247928,0.11678578143730729,0.010868513082321531,99,-1.7451832859897078,0.94
lonn180p000000_lat68p000000,0.10611136946030923,0.11451985242011464,0.012580887369160215,99,-0.6683537268140001,0.78
lonn179p000000_lat51p000000,0.09987252362778776,0.10881659316012852,0.011537848649257314,99,-0.7751938688254931,0.82
lonn179p000000_lat65p000000,0.097947359567717,0.11512470609997778,0.012711229702636547,99,-1.3513520669599641,0.89
lonn179p000000_lat66p000000,0.097947359567717,0.11545359604886996,0.011604219258153577,99,-1.5086095920544067,0.92
lonn179p000000_lat67p000000,0.097947359567717,0.11406174269858874,0.011840821672692474,99,-1.360917643750605,0.91
lonn179p000000_lat68p000000,0.10611136946030923,0.11578532333702168,0.011651557100028031,99,-0.8302713357246628,0.78
lonn178p000000_latn30p000000,0.0989262154873971,0.09443536978993564,0.010719476004354718,99,0.4189426512673841,0.35
lonn178p000000_lat51p000000,0.09987252362778776,0.10871871430545545,0.010305831334339734,99,-0.8583674999795095,0.77
lonn178p000000_lat65p000000,0.097947359567717,0.11510009974153278,0.01247057035503622,99,-1.3754575520989443,0.9
lonn178p000000_lat66p000000,0.097947359567717,0.11597686809113623,0.011555095145316014,99,-1.5603080975692094,0.95
lonn178p000000_lat67p000000,0.097947359567717,0.11504321860603565,0.0123798692820646,99,-1.3809401899813574,0.93
lonn178p000000_lat68p000000,0.10611136946030923,0.11332064331296772,0.012931316914901002,99,-0.5575050012385904,0.73
lonn177p000000_latn45p000000,0.1069795865591027,0.11806255620450354,0.007404950056768165,99,-1.4966974200279646,0.92
lonn177p000000_latn44p000000,0.1069795865591027,0.11728305995578571,0.008167841498734835,99,-1.261468332640757,0.9
lonn177p000000_lat51p000000,0.09987252362778776,0.10581836554999849,0.010832209363372463,99,-0.5489038960339642,0.7
lonn177p000000_lat52p000000,0.09987252362778776,0.10905842616565752,0.01098784118692511,99,-0.8360061254617008,0.83
lonn177p000000_lat65p000000,0.097947359567717,0.11492155236229762,0.011910996943420868,99,-1.4250858156719157,0.9
lonn177p000000_lat66p000000,0.097947359567717,0.11617370313615195,0.011971632922880195,99,-1.5224609446219115,0.94
lonn177p000000_lat67p000000,0.10101624172360975,0.11669765823070245,0.011176388819407359,99,-1.4030843737167182,0.93
lonn177p000000_lat68p000000,0.09711695447138252,0.11299471826022753,0.012760873345214386,99,-1.2442536932473767,0.88
lonn176p000000_lat51p000000,0.09987252362778776,0.10514206039692164,0.012814786164055895,99,-0.41120754585155495,0.66
lonn176p000000_lat52p000000,0.09987252362778776,0.1085157426167958,0.011632928271276283,99,-0.7429959841108659,0.75
lonn176p000000_lat64p000000,0.097947359567717,0.11645924115275622,0.010912401459135903,99,-1.696407674732403,0.96
lonn176p000000_lat65p000000,0.097947359567717,0.11613978485182952,0.01045021843403079,99,-1.7408655521371204,0.96
lonn176p000000_lat66p000000,0.097947359567717,0.11554457116397099,0.012635496237791024,99,-1.3926806882046439,0.9
lonn176p000000_lat67p000000,0.10101624172360975,0.11595905855656997,0.009909421167509307,99,-1.5079404316726648,0.92
